"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol","padj_combi_ctrl","log2FC_combi_ctrl"
"ENSMUSG00000028010",130.433913068077,0.750117805303387,0.321641476109487,9.73222285109546e-05,0.00279263765444449,"Gar1",0.0787813134888616,0.42572091751604
"ENSMUSG00000028033",374.740033404931,0.652067321378555,0.25251253534753,5.52656439402399e-05,0.00178307978494135,"Kcnq5",0.209696307372939,-0.282634196148943
"ENSMUSG00000028057",328.500679093125,0.432607753445881,0.133437436817636,5.05792033673412e-05,0.00166672071655434,"Rit1",0.00303726714099519,0.426037103510897
"ENSMUSG00000028059",418.713342055947,1.06993640429034,0.183980928673477,1.35082178242544e-10,2.27457606286868e-08,"Arhgef2",0.0298706422099973,0.400938065498598
"ENSMUSG00000028063",1635.90077695248,0.671854648485309,0.169961079517051,2.25645592380646e-07,1.67032242127954e-05,"Lmna",0.140819039282334,0.254245094325998
"ENSMUSG00000028082",373.039721151154,1.2277100130705,0.281882341833376,1.94959343388116e-07,1.47889208848322e-05,"Sh3d19",0.510541741928193,0.179474775804083
"ENSMUSG00000028107",362.462421491624,0.406656337386226,0.148920194489607,0.000340061567665477,0.00758777706012934,"Tars2",0.266853355133146,0.203611821624946
"ENSMUSG00000028195",892.19710216512,0.864007497723228,0.318717629963723,2.67487686454048e-05,0.000990027492641396,"Ccn1",0.194337008619486,0.319497712060836
"ENSMUSG00000028207",2626.12655534576,-0.355463764643838,0.10738895844106,0.000115832198779184,0.00320957826743841,"Asph",0.00136387181202944,-0.38763903114196
"ENSMUSG00000028247",419.655155867354,0.398475441879935,0.150955877940518,0.000483598929719073,0.00985397127670926,"Coq3",0.0145067520066046,0.401348399988311
"ENSMUSG00000028266",280.928841188421,-0.384440961637574,0.148475400098657,0.000662183585514638,0.0124346067167167,"Lmo4",0.810997831901415,-0.0562504528830241
"ENSMUSG00000028367",787.126999551422,0.607783689162437,0.189326398964194,7.39948519663847e-06,0.000351028828693781,"Txn1",0.328089423120743,0.195318782924878
"ENSMUSG00000028396",1608.15531685759,-0.235874159043139,0.0921226820996253,0.00365427046510529,0.0432389083681918,"2310002L09Rik",0.839574635981345,-0.0339959401531812
"ENSMUSG00000028514",2438.46941467632,-0.239586525507512,0.0855386950884561,0.00184289182309523,0.0262929528913299,"Usp24",0.235555342288548,-0.139459098177701
"ENSMUSG00000028518",4548.67662312149,-0.388334987684184,0.131548866319665,0.000231962761467584,0.00559102581294004,"Prkaa2",0.238559628109032,-0.195100854191772
"ENSMUSG00000028552",1426.39172823515,-0.291963338594545,0.125709120922017,0.00387662359374238,0.0450011388840261,"Eps15",0.0959743099390912,-0.260373108863192
"ENSMUSG00000028573",115.038758172066,1.01100350780551,0.330892569221628,1.01468778472854e-05,0.000449365922699292,"Fggy",0.941926962460413,-0.0259747471858071
"ENSMUSG00000028581",119.028776072271,0.54884265491877,0.440782281057469,0.00328653054866429,0.0400632518672895,"Laptm5",0.237916893433374,0.350830712905578
"ENSMUSG00000028633",317.731395827848,0.369135059283396,0.11975293068433,0.000202071632321401,0.00504290492192316,"Ctps1",0.356921771552831,0.151786374811115
"ENSMUSG00000028653",148.132400735452,0.442881660814592,0.218746222863525,0.00124981798100142,0.0199905646376667,"Trit1",0.773117679674057,0.0815104082702116
"ENSMUSG00000028832",30.8999406761963,1.45194340026352,0.44588932991328,5.9771908144394e-06,0.000291683104616735,"Stmn1",0.214771905845764,0.370331115175505
"ENSMUSG00000028933",83.4525597885205,-0.610154528095187,0.30043670021846,0.000370022010479079,0.00810036716487245,"Xrcc2",0.0477508792590439,-0.468304660591648
"ENSMUSG00000029048",908.765101168135,-0.324448191768596,0.114978893490215,0.000758153158703925,0.0136192038110437,"Rer1",0.084499763557587,-0.246058164038407
"ENSMUSG00000029095",610.056301740498,-0.462972551546799,0.138207712920489,2.27623840056946e-05,0.000876351784219242,"Ablim2",0.16522996788879,-0.224221225983356
"ENSMUSG00000029161",81.2332637558454,0.741226891479349,0.335358583240988,0.000144446171221376,0.00384261923893255,"Cgref1",0.699049019079333,0.116513650775682
"ENSMUSG00000029174",1435.10840040011,0.543573658845895,0.305857627432225,0.00102648051613748,0.0172087100096002,"Tbc1d1",0.660919079692565,-0.128128377512731
"ENSMUSG00000029177",25.9257391825939,1.46310771510149,0.471531261072515,8.76241583245053e-06,0.000392592098832279,"Cenpa",0.358658505332249,0.279646871789725
"ENSMUSG00000029490",75.3262117848258,0.783738243373107,0.527221581393219,0.000909275259241306,0.0156372893348536,"Slc49a3",0.726024178716223,0.118611367843164
"ENSMUSG00000029534",137.335756553845,-0.538958053015432,0.189961558552707,5.04854384355657e-05,0.00166672071655434,"St7",0.0306479673392944,-0.391677610422589
"ENSMUSG00000029536",339.841192651877,-0.320424858507277,0.133970603436969,0.00238915938428972,0.0323687791737148,"Gatc",0.157081463184449,-0.237643773383905
"ENSMUSG00000029550",321.260129494456,-0.337015368449189,0.146294744232281,0.00238348357317837,0.0323204591077984,"Sppl3",0.366562138614207,-0.173649186751184
"ENSMUSG00000029599",559.143718723809,0.382505148548069,0.1170209745355,9.32409544534345e-05,0.00270593019903405,"Ddx54",0.662644742739467,-0.0800158795168605
"ENSMUSG00000029621",352.051224846719,0.320850278298459,0.119941101221929,0.00117841829038732,0.01906747989821,"Arpc1a",0.575710027148764,0.103030501800186
"ENSMUSG00000029730",141.730813680513,0.495064977128698,0.237217038433462,0.000663119807223928,0.0124369459070897,"Mcm7",0.204393505110084,0.290349673132773
"ENSMUSG00000029810",154.608893382956,0.731765057930888,0.262867666182521,2.19483303198903e-05,0.000853589506324058,"Tmem176b",0.0744357569770453,0.389221239092055
"ENSMUSG00000029925",15.5907279930711,0.849553684793945,0.593741650385871,0.000871339444044284,0.0150958342330742,"Tbxas1",0.306632212600053,0.321399824511821
"ENSMUSG00000029994",265.066454841179,0.756592202813119,0.23423115728459,4.05011988688117e-06,0.000205496645783709,"Anxa4",0.0295193904620209,0.433332693764317
"ENSMUSG00000029999",8.02387051426435,1.07558877853444,1.20016603127734,0.00135276459520066,0.0212599096330869,"Tgfa",0.541948839196898,0.200808156436565
"ENSMUSG00000030057",8090.97484819081,-0.293918917925346,0.115445671054033,0.00222007412955661,0.0305919027762554,"Cnbp",0.0158940112365871,-0.328836976970637
"ENSMUSG00000030137",3431.10968500991,-0.373268241486387,0.164185985868236,0.00161730232551651,0.0237830360210072,"Tuba8",0.290244480765058,-0.211010725830684
"ENSMUSG00000030201",1077.64053596101,-0.366843310513246,0.158796102568957,0.00161668954273547,0.0237830360210072,"Lrp6",0.0738809338803676,-0.322711060968537
"ENSMUSG00000030353",82.5003551894452,1.60451487294394,0.359763806581125,1.03181434757413e-07,8.54621148533967e-06,"Tead4",0.174835518869104,0.381632295607458
"ENSMUSG00000030357",2177.55125412388,-0.414761650355459,0.10367066427614,3.91895157630502e-06,0.00020016698334574,"Fkbp4",0.0062730688838904,-0.32032611021383
"ENSMUSG00000030451",1980.73046157631,-0.454577595611908,0.147155927215448,6.13123266333936e-05,0.00192703344847943,"Herc2",0.00262998561698241,-0.457672976015367
"ENSMUSG00000030592",66568.7618198577,-0.424029607039952,0.136896516045882,9.11330456014775e-05,0.00267004141061461,"Ryr1",0.108147495273639,-0.256279780243111
"ENSMUSG00000030603",1229.20111368348,0.33622140953069,0.126831900030738,0.00104504457093424,0.0175007846562026,"Psmc4",0.21259679414593,0.204030348036448
"ENSMUSG00000030681",641.953044786007,0.696976532678895,0.172074139710915,1.31956624372688e-07,1.06419545013827e-05,"Mvp",0.914752621241859,0.027457981962307
"ENSMUSG00000030739",1296.06484923264,0.79089666791708,0.229867837623761,1.77887309391126e-06,9.87596826739214e-05,"Myh14",0.147522332549687,0.29860839674022
