"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000018927",376.92871785103,1.33719070678847,0.383170315012755,3.41785272501018e-06,0.000178743198994304,"Ccl6"
"ENSMUSG00000019102",34.3699178913512,1.0692575979966,0.696328953711422,0.000452996143979586,0.009418263112889,"Aldh3a1"
"ENSMUSG00000019370",5170.84715535835,-0.794004902458968,0.158772169511551,1.24308376590434e-09,1.62801474743182e-07,"Calm3"
"ENSMUSG00000019478",256.213370960456,-0.401231598964402,0.158969961046126,0.000628054639480518,0.0119652489557768,"Rab4a"
"ENSMUSG00000019578",1033.97109115423,-0.330809085582442,0.132636459633233,0.00165495164359935,0.0241640597463478,"Ubxn6"
"ENSMUSG00000019796",75.8941685537459,0.862685714534068,0.490405361891742,0.000409077526290146,0.00870596518797765,"Lrp11"
"ENSMUSG00000019849",611.971250687675,0.317829727325641,0.119777577272451,0.00129153320256626,0.020486711452301,"Prep"
"ENSMUSG00000019916",725.520963212253,-0.687549513185586,0.139142844964114,1.5767326765392e-09,2.01335623355085e-07,"P4ha1"
"ENSMUSG00000019927",2694.72547998871,-0.389876289226187,0.145453733980709,0.000486397912104879,0.00989784224061496,"Ube2d1"
"ENSMUSG00000019932",74.8237246870379,-0.752368700013685,0.492097118154281,0.000895159910582907,0.015446548772367,"Kera"
"ENSMUSG00000019933",311.204712565959,-0.43455998889528,0.176141949902713,0.000476870714054478,0.00978191425897827,"Mrln"
"ENSMUSG00000019970",7043.99530479858,0.568864277184241,0.269990919556629,0.000369368856850792,0.00810036716487245,"Sgk1"
"ENSMUSG00000019978",429.466235684805,-0.333823470815138,0.133449490333208,0.00156701669988389,0.0232218538610453,"Epb41l2"
"ENSMUSG00000020029",4269.30927547773,-0.861854789270997,0.131203102475978,1.84582736351531e-13,5.14247503475366e-11,"Nudt4"
"ENSMUSG00000020061",24629.9308029891,0.687726752162908,0.198510256047944,1.76209610321494e-06,9.81839948711366e-05,"Mybpc1"
"ENSMUSG00000020091",4557.29721718745,-0.473524712509534,0.114495205500784,9.14341880392548e-07,5.64937928760283e-05,"Eif4ebp2"
"ENSMUSG00000020101",201.051515967122,0.750965998543514,0.379326948931007,0.000280033423345409,0.00648180082465513,"Vsir"
"ENSMUSG00000020108",7637.93675908897,0.680465544112268,0.439887208517316,0.00104660852963911,0.0175078411568341,"Ddit4"
"ENSMUSG00000020149",1468.05146245692,-0.242172761487919,0.092099443303868,0.00289802729008576,0.0370053934716534,"Rab1a"
"ENSMUSG00000020190",9167.59285906494,1.00786698954321,0.211241276777683,1.57352757083608e-08,1.49758776198268e-06,"Mknk2"
"ENSMUSG00000020218",13.7398999552125,-0.847803124940641,0.779305586547251,0.001595062667195,0.0235463827065789,"Wif1"
"ENSMUSG00000020248",484.572655199414,-0.568352202381226,0.14363845634358,5.18005522813918e-07,3.49665137712672e-05,"Nfyb"
"ENSMUSG00000020311",514.202530382985,-0.302707710814483,0.124119215926857,0.00262403493638027,0.0345133796825364,"Erlec1"
"ENSMUSG00000020354",370.161967400316,-0.361916588601478,0.167311145235253,0.00235866142686407,0.0320132939587991,"Sgcd"
"ENSMUSG00000020366",843.570402591615,-0.521841065046414,0.119565373448356,1.5810621396816e-07,1.23605179420108e-05,"Mapk9"
"ENSMUSG00000020376",766.80052165031,-0.369820893826525,0.110747953325287,8.7215566793765e-05,0.00257495978801707,"Rnf130"
"ENSMUSG00000020389",36.0607661216506,0.579794452284363,0.487934265739331,0.00319372613408521,0.0393072012470584,"Cdkl3"
"ENSMUSG00000020393",887.249889015374,0.395547878338465,0.180496831108904,0.00146933192365322,0.0223802913182289,"Kremen1"
"ENSMUSG00000020444",316.079200620874,0.308693123668188,0.128598129976393,0.00268519220100145,0.0350470188210777,"Guk1"
"ENSMUSG00000020464",276.738816065002,0.300441189794065,0.123184934188093,0.00269047014362105,0.0350860204346429,"Pnpt1"
"ENSMUSG00000020473",1546.74658321108,-0.662598936434035,0.17025687344237,3.1057601252196e-07,2.22381132704392e-05,"Aebp1"
"ENSMUSG00000020476",196.852394273151,0.367766819811047,0.138138189326359,0.000681446892595126,0.0126874978556927,"Dbnl"
"ENSMUSG00000020483",4689.18802970106,-0.428902418580678,0.101792941840407,1.29639565766444e-06,7.66975701250662e-05,"Dynll2"
"ENSMUSG00000020538",540.398200000242,-0.5755122684686,0.334817658138996,0.00100669187574676,0.0169697905523296,"Srebf1"
"ENSMUSG00000020544",359.290533841253,-0.313079078753551,0.135574275011145,0.00314301253376432,0.038776474279284,"Cox11"
"ENSMUSG00000020570",2459.76834821424,-0.256736629175573,0.0960602218760634,0.00228531734347488,0.0313780624140373,"Sypl1"
"ENSMUSG00000020580",2905.97540194993,-0.508562978329752,0.11656736178005,1.94914312272723e-07,1.47889208848322e-05,"Rock2"
"ENSMUSG00000020594",1689.15122501436,-0.255340653380142,0.0806592370736682,0.000536735691862621,0.0106395873304152,"Pum2"
"ENSMUSG00000020598",35.0402643462368,4.806878370414,0.756571039177958,9.64563180166506e-12,1.97066688129218e-09,"Nrcam"
"ENSMUSG00000020608",572.909573929094,-0.340265864974293,0.121924340867721,0.000683776075553554,0.0127154135991591,"Smc6"
"ENSMUSG00000020612",2532.48089897109,0.304407158794693,0.0828681929054265,5.71728987842462e-05,0.00183391849075879,"Prkar1a"
"ENSMUSG00000020623",429.039790715284,-0.546718485795785,0.169152782349353,1.18921610131808e-05,0.000516214116727957,"Map2k6"
"ENSMUSG00000020634",2523.98799825849,-0.538753298715151,0.10287176925754,1.53373936114332e-09,1.97491497737808e-07,"Ubxn2a"
"ENSMUSG00000020644",45.007543931998,0.476053785849456,0.312770655126761,0.00278706242847014,0.0359421637808871,"Id2"
"ENSMUSG00000020646",17.1397598741389,1.28205412481423,0.890155643774251,0.000389221085799048,0.00842377782160849,"Mboat2"
"ENSMUSG00000020647",538.559846241234,-0.56936204377832,0.137662494730914,2.3229598432065e-07,1.71071846715908e-05,"Ncoa1"
"ENSMUSG00000020649",37.5085223982007,1.44609370962865,0.585677891035354,3.91659374886632e-05,0.00134259431798386,"Rrm2"
"ENSMUSG00000020658",88.2093126572481,-0.648526710769243,0.413522831737866,0.0010997943653958,0.0181400958675563,"Efr3b"
"ENSMUSG00000020661",543.856714788824,-0.815541163098998,0.195702782730953,8.35208956654761e-08,7.18983530495556e-06,"Dnmt3a"
"ENSMUSG00000020671",6810.22800709383,-0.289374958814595,0.0991091738573419,0.000838557988584116,0.0147184697125709,"Rab10"
"ENSMUSG00000020674",316.419384028873,0.787001321070033,0.295397933957893,3.14540519725394e-05,0.00112609915508229,"Pxdn"
"ENSMUSG00000020737",782.872310116603,0.73165898390648,0.161226365008843,1.19125471529527e-08,1.15529088623224e-06,"Jpt1"
"ENSMUSG00000020738",1267.52231769601,-0.286357446803131,0.0824348139066708,0.000142588863830171,0.00380642710883225,"Sumo2"
"ENSMUSG00000020799",52.7044287723985,2.65695689170872,0.561337289323256,2.0640319924265e-08,1.92848550121654e-06,"Tekt1"
"ENSMUSG00000020821",18984.8846523433,-0.309524150325881,0.114239046226977,0.00122358092523638,0.0196323879763321,"Kif1c"
"ENSMUSG00000020836",2270.09011135894,0.374575958367373,0.191686985498747,0.0030595291187433,0.0381457808677816,"Coro6"
"ENSMUSG00000020844",835.639469599629,0.583751322464032,0.126252036029078,1.94357920660741e-08,1.8270836921991e-06,"Nxn"
"ENSMUSG00000020847",129.510441942155,-0.454468894650487,0.225162700903459,0.00113059952933571,0.018508735670952,"Rph3al"
"ENSMUSG00000020859",4600.52517288241,-0.236433525394462,0.0628785686111521,7.47738605665673e-05,0.00226434756020061,"Spag9"
"ENSMUSG00000020863",817.37286782232,-0.514108678838321,0.1008321089511,4.79726562310275e-09,5.16113445428682e-07,"Luc7l3"
"ENSMUSG00000020873",493.369267255884,-0.347825403302928,0.148347182215861,0.00190164116125756,0.0269804143647682,"Slc35b1"
"ENSMUSG00000020886",53.1645908698206,-0.912259232501947,0.555370980446832,0.000487832380063039,0.00991386679006094,"Dlg4"
"ENSMUSG00000020900",252.81718142757,0.473650078969991,0.342966574902562,0.00374697255991882,0.04413133015806,"Myh10"
"ENSMUSG00000020902",134.454736178481,-0.373479240599018,0.202221532351535,0.00377817949596388,0.0443624861430303,"Ntn1"
"ENSMUSG00000020908",96.1424820805723,3.589867043833,0.62335804825263,4.33193436459228e-10,6.44448837559685e-08,"Myh3"
"ENSMUSG00000020914",22.9407336598714,1.43310710545862,0.870197632695919,0.000216991944147008,0.00531666366368429,"Top2a"
"ENSMUSG00000020925",998.060108057025,-0.295524644223574,0.0782488962128031,4.20820316217938e-05,0.00142976268412582,"Ccdc43"
"ENSMUSG00000020936",1239.71612798728,0.392889992897453,0.179483298504954,0.00152540315241487,0.0228482429173539,"Nmt1"
"ENSMUSG00000020953",3.77284411874916,-1.03047308615056,1.5595212787864,0.00172318538196615,0.0249333046344356,"Coch"
"ENSMUSG00000020954",2495.62717631098,-0.346223445547183,0.0956961646619811,4.38646244270852e-05,0.00147722558262907,"Strn3"
"ENSMUSG00000020955",650.600524607176,-0.335688546998714,0.136971219042531,0.00173000385676464,0.02500834820491,"Ap4s1"
"ENSMUSG00000020986",1693.32378985952,-0.445577028696493,0.130742294290535,2.38152701476885e-05,0.000905619776373529,"Sec23a"
"ENSMUSG00000020993",554.756932144805,-0.353187178909833,0.158875976153862,0.00231983147996234,0.0316534085195573,"Trappc6b"
"ENSMUSG00000021009",526.618276988849,-0.523494186488566,0.202233079761695,0.000128197442809348,0.00350154976143965,"Ptpn21"
"ENSMUSG00000021054",318.762733548958,-0.283145601597094,0.114934140342701,0.00304970866365129,0.0381457808677816,"Sgpp1"
"ENSMUSG00000021062",52.7453753283891,0.686409650820171,0.621268092863814,0.00247364931992999,0.0329025421261173,"Rab15"
"ENSMUSG00000021091",419.270268249618,1.47787075387542,0.37019687198487,6.79202399939281e-07,4.42868866990196e-05,"Serpina3n"
"ENSMUSG00000021096",3616.17229325391,-0.379029168841574,0.0903377343925739,2.84530395794997e-06,0.000151384001901623,"Ppm1a"
