"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000000420",1384.31968921993,-0.372765889375477,0.101009754889097,2.38757607678597e-05,0.000905619776373529,"Galnt1"
"ENSMUSG00000000435",13.9676150167294,0.044547397936694,0.240481899523405,0.604206953934241,0.847699467742058,"Myf5"
"ENSMUSG00000000439",969.966279229862,-0.0725928710399071,0.135173581763169,0.456991558575634,0.76105658646391,"Mkrn2"
"ENSMUSG00000000440",134.089933357865,0.119788096738973,0.250717167907638,0.228254552486128,0.552185744828692,"Pparg"
"ENSMUSG00000000441",1822.09640367114,-0.355876705290907,0.119890618275956,0.00033869987168539,0.00757649362603683,"Raf1"
"ENSMUSG00000000486",13.0932279894631,0.109937207647608,0.275092571139565,0.24013295947103,0.565998667585694,"Septin1"
"ENSMUSG00000000489",258.793721238301,-0.0464637300952793,0.163221041888338,0.649472448401056,0.870898027832325,"Pdgfb"
"ENSMUSG00000000530",216.570185372359,-0.128803769715155,0.154033397435755,0.218041776332003,0.540973791893667,"Acvrl1"
"ENSMUSG00000000531",105.932624942691,-0.0025688369797088,0.171957907923031,0.979742298748827,0.995153281361705,"Tamalin"
"ENSMUSG00000000532",1410.6913418469,-0.0385807634682388,0.18058455828368,0.702484747739345,0.896141966278556,"Acvr1b"
"ENSMUSG00000000538",1685.93268197381,0.112487194105892,0.100922223131292,0.166635658726676,0.475523679121555,"Tom1l2"
"ENSMUSG00000000552",323.209129966197,0.298688342341071,0.210128252758557,0.016911224510331,0.122548727122628,"Zfp385a"
"ENSMUSG00000000555",198.802601044661,0.149705893252708,0.189587318892292,0.171163190236481,0.480970761781332,"Itga5"
"ENSMUSG00000000561",518.662657651156,0.134484216414869,0.146358030205218,0.191309136669064,0.507870738250186,"Wdr77"
"ENSMUSG00000000562",0.778004963711182,0.0273621162563694,0.387677810526856,0.585238206766533,NA,"Adora3"
"ENSMUSG00000000563",9187.21792187971,-0.00499045787577094,0.0850805549500225,0.94348200512922,0.983633033649949,"Atp5pb"
"ENSMUSG00000000567",54.1387515174887,0.170739766421956,0.260438367589736,0.118735224117884,0.398462514051321,"Sox9"
"ENSMUSG00000000568",759.495265951045,-0.00364375139290768,0.116522132667306,0.967492003959041,0.991498125780122,"Hnrnpd"
"ENSMUSG00000000579",60.3536709042005,-0.0963247273118352,0.217233337814841,0.335934931762773,0.663992798605628,"Dynlt1c"
"ENSMUSG00000000581",413.2500610553,-0.230259512688084,0.179364323076162,0.0453870109993187,0.228716314950089,"C1d"
"ENSMUSG00000000594",219.784285353743,0.075183401579333,0.151220469770768,0.460479792609448,0.763794312855008,"Gm2a"
"ENSMUSG00000000600",354.676756680877,-0.00300331649164682,0.113714360997774,0.972780221402663,0.992933075709632,"Krit1"
"ENSMUSG00000000605",950.11511974556,-0.13407656169287,0.16034942190288,0.205991360761976,0.526945846570244,"Clcn4"
"ENSMUSG00000000627",3.64989918942412,0.101495442330922,0.352164684831114,0.208458454456129,0.529984833279424,"Sema4f"
"ENSMUSG00000000628",5964.50575974022,0.0729727292017372,0.160085646170054,0.478720512421856,0.774515300584954,"Hk2"
"ENSMUSG00000000631",4465.38769498062,0.0934367658159145,0.114686397750071,0.293517615873712,0.622055899916529,"Myo18a"
"ENSMUSG00000000632",1.47203954441037,0.209798448561451,0.65151843213868,0.0395962482331496,NA,"Sez6"
"ENSMUSG00000000673",1.22930845738574,0.0369754246775924,0.365678203092418,0.514817434591005,NA,"Haao"
"ENSMUSG00000000682",10.8376839720029,0.0826957534026205,0.283914197732409,0.32849165653163,0.657111965148063,"Cd52"
"ENSMUSG00000000686",40.2685444937808,2.33041651232172,0.93836418422733,2.27013796845412e-05,0.000876204637043388,"Abhd15"
"ENSMUSG00000000690",9.36896312952781,-0.0243079015601224,0.234526355353927,0.775339222811977,0.927296511953475,"Hoxb6"
"ENSMUSG00000000693",37.5013946878019,0.19109743942693,0.264028395297384,0.0918455716272524,0.344095279717454,"Loxl3"
"ENSMUSG00000000708",1487.49512473762,-0.152718575968325,0.133868210528366,0.124378049391152,0.408628827362912,"Kat2b"
"ENSMUSG00000000711",2223.24226572995,-0.241711259820488,0.0725055542969319,0.000342228896374136,0.00762205433014664,"Rab5b"
"ENSMUSG00000000732",40.3648692933861,-0.0490027009039215,0.192694021817777,0.622264883846651,0.856479663095741,"Icosl"
"ENSMUSG00000000738",1667.37207469489,-0.0439127687983673,0.121605817301025,0.632690921492704,0.861680622414321,"Spg7"
"ENSMUSG00000000739",33.8721826440201,0.0490308229148738,0.187360000144077,0.625634218340098,0.858539722865496,"Sult5a1"
"ENSMUSG00000000740",5701.39656807313,-0.0181950201836746,0.110873594226743,0.83347631489616,0.948489055576083,"Rpl13"
"ENSMUSG00000000743",1061.52055573232,0.125885803284887,0.109681246231201,0.14759243730528,0.446507189897098,"Chmp1a"
"ENSMUSG00000000751",1100.66371246041,-0.172167494264428,0.11704576133298,0.062906376461766,0.278519996543752,"Rpa1"
"ENSMUSG00000000753",541.970180711698,-0.0957158238195481,0.185438066933902,0.359361104438008,0.683510779173146,"Serpinf1"
"ENSMUSG00000000759",191.798293798217,-0.0859043755553875,0.129521849672477,0.369686509708094,0.694034107848215,"Tubgcp3"
"ENSMUSG00000000776",346.957772695973,-0.0263969833175844,0.100382134850086,0.742946033894322,0.91417024631516,"Polr3d"
"ENSMUSG00000000782",5.12517744470577,0.0200884799095321,0.250646475899279,0.80087278901018,0.937470065613667,"Tcf7"
"ENSMUSG00000000787",3084.43215841942,-0.289606019992739,0.142024582072507,0.00725622863044216,0.0701248260058913,"Ddx3x"
"ENSMUSG00000000791",8.98196765228303,0.175667178962723,0.533668913388379,0.0636631037064213,0.280238361991811,"Il12rb1"
"ENSMUSG00000000792",0.787755404809948,0.0158274846546749,0.36993018851892,0.755203241207379,NA,"Slc5a5"
"ENSMUSG00000000794",235.876761194378,3.47810708364475,0.410960564578206,2.41449760012173e-18,1.19346279763437e-15,"Kcnn3"
"ENSMUSG00000000804",324.961366674348,-0.117127057968675,0.15435229673151,0.26056328806762,0.58723507325491,"Usp32"
"ENSMUSG00000000805",72.0916069164324,-0.0645988447611545,0.229582192456865,0.483541099801433,0.776412058289569,"Car4"
"ENSMUSG00000000811",91.2774480535257,0.0311809213193644,0.150031384351711,0.7565342871141,0.91959185161426,"Txnrd3"
"ENSMUSG00000000823",227.728898007797,-0.185696185251238,0.208856269448615,0.10174929516438,0.364908862498915,"Zfp512b"
"ENSMUSG00000000826",985.12272651436,-0.0111477036334089,0.121321804259872,0.903172958308537,0.974002254261362,"Dnajc5"
"ENSMUSG00000000827",643.741032316824,0.340439221867076,0.123633552860774,0.000755410903397163,0.0136018346330843,"Tpd52l2"
"ENSMUSG00000000838",204.996106596388,-0.0214578934155972,0.156606002802486,0.832185954308454,0.948214260698129,"Fmr1"
"ENSMUSG00000000876",314.226928331769,0.124347884294006,0.153603474810553,0.233076071730906,0.558384091171463,"Pxmp4"
