"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT",0.158083832335329,0.584280622542314,0.117249716749792,0.460739810385545,1.26335388112601,117,"Krt18;Myo5a;Osbpl5;Laptm5;Ehd3;Rab13;Atp9a;Ank3;Rab31;Prepl;Arfgef2;Lyplal1"
"GOBP_POST_TRANSCRIPTIONAL_REGULATION_OF_GENE_EXPRESSION",0.941176470588235,0.969061891786687,0.252961123069611,-0.216841580586561,-0.846645143608797,498,"Cpeb1;Alkbh5;Cpeb2;Rock2;Eif4ebp2;Gtdc1;Csde1;Klhl25;Ybx2;Pink1;Tob1;Mapk14;Lsm14a;Edc3;Fto;Epb41l5;Cnbp;Mettl4;Cacng7;Patl1;Ddx3x;Ybx1;Eif2s2;Zc3h10;Ogt;Rbm33;Mettl16;Ago2;Pum2;Zfp598;Eif2ak1;Otud6b;Eif4g1;Igfbp5;Prkca;Dicer1;Piwil2;Nck1;Larp1;Rbm38;Paip2b;Eif4g2;Tnrc6a;Eif3h;Purb;Eif5;Stau1;Elavl1;Edc4;Celf1;Trmt10c;Zc3h12c;Dus3l;Pnn;Mif4gd;Dhfr;Mapkapk5;Atf4;Zc3h14;Mapkapk2;Pura;Fxr2;Dis3;Caprin2;Eif4e;Rbm3;Ythdf1;Elp1;Eif4enif1;Nck2;Tnrc6c;Ddx6;Prkcd;Ifrd2;Atxn2;Tent4b;Dhx57;Ybx3;Serbp1;Pcbp4;Cpeb3;Mknk1;Eif2ak3;Nmnat2;Cnot9;Kbtbd8;Larp4b;Tial1;Mtg2;Tent5c;Eif3e;Eif4b;Mettl18;Lsm14b;Gigyf2;Scrib;Eif1b;Elob;Abce1;Thrap3;Tirap;Msi2;Upf3a;Dcp1b;Shfl;Fastkd5;Ythdf3;Rps6ka3;Larp1b;Dazl;Cnot10;Ngrn;Fastk;Mettl14;Ppp1ca;Plekhn1;Cnot2;Upf1;Ago1;Dkc1;Csdc2;Rida;Tardbp;Itga2;Rps6ka1;Cnot1;Tia1;Tarbp2;Fastkd3;Tcof1;Angel2;Cnot4;Usp16;Senp1;Rnf139;Rbm4b;Lsm2"
"GOBP_POST_TRANSLATIONAL_PROTEIN_TARGETING_TO_ENDOPLASMIC_RETICULUM_MEMBRANE",0.0137436320309607,0.247090807367224,0.380730400722792,-0.663920484483434,-1.70107988238279,18,"Ssr3;Sec61b;Ssr1;Ssr2;Bag6;Sec61g;Ssr4;Get1;Sec61a2;Chmp4b;Hspa5;Sgta;Get4;Ubl4a"
"GOBP_POTASSIUM_ION_EXPORT_ACROSS_PLASMA_MEMBRANE",0.0736,0.494148787502555,0.208955027549354,0.742282870977044,1.56991956771663,16,"Kcnk5"
"GOBP_POTASSIUM_ION_HOMEOSTASIS",0.516417910447761,0.768716794873305,0.0628003977812234,0.407579691323562,0.94334795211271,32,"Atp1a3;Slc12a4;Slc12a2;Fxyd5;Kcnma1;Kcnj2;Kcna5;Kctd7;Fxyd2;Slc12a7"
"GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE",0.134094151212553,0.556798425455142,0.142056643575821,0.581841275638065,1.39763969181236,40,"Kcnk5;Atp1a3;Abcc8"
"GOBP_POTASSIUM_ION_TRANSPORT",0.418181818181818,0.712457912457912,0.0598603117764473,0.369801551992465,1.04643768146331,173,"Kcnk5;Kcnn3;Actn2;Atp1a3;Fhl1;Abcc8;Kcnq5;Kcnk3;Kcnc2;Casq2;Gck;Ank3;Slc9a4;Cngb1;Slc9a9;Slc12a4;Slc9a1;Slc12a2;Kcnh1"
"GOBP_PRESYNAPSE_ASSEMBLY",0.428989751098097,0.722065747943784,0.0709609456938284,0.434480110336058,1.01602844971235,35,"Clstn3;App;Ptprd;Pcdh17;Ntrk3;Arf6"
"GOBP_PRESYNAPSE_ORGANIZATION",0.741046831955923,0.880502907163852,0.042331839351853,0.312263593156795,0.765897934427416,46,"Clstn3;App;Ptprd;Pcdh17;Ntrk3;Arf6"
"GOBP_PRESYNAPTIC_ENDOCYTOSIS",0.0564843440115788,0.449296398891967,0.321775918075361,-0.396850966452732,-1.31276341712482,73,"Calm3;Atp8a1;Ppp3cb;Calm2;Prkn;Tbc1d24;Pip5k1c;Actb;Dnm1;Sgip1;Btbd8;Ston2;Dnm3;Calm1;Mylk;Ctbp1;Aak1;Stx1a;Eps15l1;Scrib;Actg1;Pacsin1;Ap2m1;Ap3s2;Necap1;Park7"
"GOBP_PRESYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION",0.308035714285714,0.66034587104855,0.0894366833718621,0.500302242411643,1.14871706891698,31,"Chrna1;Syt12"
