"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"13","0.38","GOTERM_MF_DIRECT","nucleotide binding","5","51","1865","24521","8.33","5.34e-1","1.00e+0","1.29","1.00e+0","1.00e+0","3.46e-1","EEF1A1,ACTC1,MYO1A,RRAD,ATP13A3"
"13","0.38","UP_KW_LIGAND","Nucleotide-binding","5","15","1867","6880","8.33","5.53e-1","1.00e+0","1.23","1.00e+0","1.00e+0","3.86e-1","EEF1A1,ACTC1,MYO1A,RRAD,ATP13A3"
"13","0.38","INTERPRO","P-loop_NTPase","3","57","931","22313","5.00","6.84e-1","1.00e+0","1.26","1.00e+0","1.00e+0","4.27e-1","EEF1A1,MYO1A,RRAD"
"13","0.38","UP_KW_LIGAND","ATP-binding","3","15","1441","6880","5.00","8.25e-1","1.00e+0","0.95","1.00e+0","1.00e+0","6.37e-1","ACTC1,MYO1A,ATP13A3"
"13","0.38","GOTERM_MF_DIRECT","ATP binding","3","51","1551","24521","5.00","8.33e-1","1.00e+0","0.93","1.00e+0","1.00e+0","6.34e-1","ACTC1,MYO1A,ATP13A3"
"14","0.27","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","6","54","1328","26568","10.00","1.24e-1","1.00e+0","2.22","1.00e+0","1.00e+0","5.18e-2","TEAD4,HES6,TGFB1,HCLS1,ARHGEF2,NFKB2"
"14","0.27","GOTERM_MF_DIRECT","DNA-binding transcription factor activity","3","51","651","24521","5.00","3.85e-1","1.00e+0","2.22","1.00e+0","1.00e+0","1.53e-1","TEAD4,HES6,NFKB2"
"14","0.27","UP_KW_MOLECULAR_FUNCTION","Repressor","3","34","597","12802","5.00","4.60e-1","1.00e+0","1.89","1.00e+0","1.00e+0","2.10e-1","HES6,BIRC5,NFKB2"
"14","0.27","GOTERM_BP_DIRECT","regulation of DNA-templated transcription","4","54","1554","26568","6.67","6.06e-1","1.00e+0","1.27","1.00e+0","1.00e+0","3.89e-1","TEAD4,HES6,LBH,NFKB2"
"14","0.27","GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding","3","51","1060","24521","5.00","6.43e-1","1.00e+0","1.36","1.00e+0","1.00e+0","3.80e-1","TEAD4,HES6,NFKB2"
"14","0.27","GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific","3","51","1080","24521","5.00","6.53e-1","1.00e+0","1.34","1.00e+0","1.00e+0","3.91e-1","TEAD4,HES6,NFKB2"
"14","0.27","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation","5","25","2267","11883","8.33","6.99e-1","1.00e+0","1.05","1.00e+0","1.00e+0","5.33e-1","TEAD4,HES6,LBH,BIRC5,NFKB2"
"14","0.27","UP_KW_BIOLOGICAL_PROCESS","Transcription","5","25","2325","11883","8.33","7.19e-1","1.00e+0","1.02","1.00e+0","1.00e+0","5.58e-1","TEAD4,HES6,LBH,BIRC5,NFKB2"
"14","0.27","GOTERM_MF_DIRECT","DNA binding","4","51","2205","24521","6.67","8.39e-1","1.00e+0","0.87","1.00e+0","1.00e+0","6.85e-1","TEAD4,HES6,CENPA,NFKB2"
"14","0.27","UP_KW_CELLULAR_COMPONENT","Nucleus","12","51","5576","19181","20.00","8.99e-1","1.00e+0","0.81","1.00e+0","1.00e+0","8.48e-1","EEF1A1,TEAD4,HES6,DUSP2,LBH,NTAQ1,BIRC5,IGFN1,CENPA,DLGAP5,NFKB2,SPC25"
"15","0.24","GOTERM_MF_DIRECT","ubiquitin protein ligase activity","3","51","374","24521","5.00","1.77e-1","1.00e+0","3.86","1.00e+0","1.00e+0","4.28e-2","NEURL3,BIRC5,SH3RF1"
