"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"14","1.59","GOTERM_CC_DIRECT","myosin complex","5","289","53","27008","1.63","2.46e-3","3.57e-2","8.82","5.44e-1","3.20e-2","2.56e-4","MYL4,MYH3,MYO1A,MYL2,MYH8"
"14","1.59","UP_KW_MOLECULAR_FUNCTION","Myosin","5","182","46","12802","1.63","3.97e-3","8.85e-2","7.65","2.64e-1","8.51e-2","4.70e-4","MYL4,MYH3,MYO1A,MYL2,MYH8"
"14","1.59","GOTERM_MF_DIRECT","cytoskeletal motor activity","4","277","53","24521","1.30","2.19e-2","4.43e-1","6.68","1.00e+0","4.32e-1","3.02e-3","MYL4,MYH3,MYO1A,MYH8"
"14","1.59","UP_KW_MOLECULAR_FUNCTION","Calmodulin-binding","7","182","157","12802","2.28","2.41e-2","2.65e-1","3.14","8.47e-1","2.55e-1","7.15e-3","MYH3,MYO1A,RRAD,MYH8,KCNN3,SCN5A,SMTNL1"
"14","1.59","UP_SEQ_FEATURE","REGION:Actin-binding","4","282","58","22290","1.30","3.68e-2","9.16e-1","5.45","1.00e+0","9.08e-1","6.23e-3","MYH3,ACTN2,MYO1A,MYH8"
"14","1.59","UP_KW_MOLECULAR_FUNCTION","Motor protein","6","182","134","12802","1.95","4.15e-2","3.55e-1","3.15","9.62e-1","3.42e-1","1.22e-2","MYL4,MYH3,MYO1A,MYL2,MYH8,KIF11"
"14","1.59","UP_SEQ_FEATURE","DOMAIN:Myosin motor","3","282","39","22290","0.98","8.66e-2","1.00e+0","6.08","1.00e+0","9.93e-1","1.31e-2","MYH3,MYO1A,MYH8"
"14","1.59","INTERPRO","Myosin_head_motor_dom-like","3","285","39","22313","0.98","8.80e-2","1.00e+0","6.02","1.00e+0","1.00e+0","1.34e-2","MYH3,MYO1A,MYH8"
"14","1.59","INTERPRO","Kinesin_motor_dom_sf","4","285","86","22313","1.30","9.70e-2","1.00e+0","3.64","1.00e+0","1.00e+0","2.45e-2","MYH3,MYO1A,MYH8,KIF11"
"14","1.59","SMART","MYSc","3","159","39","10952","0.98","1.08e-1","1.00e+0","5.30","1.00e+0","1.00e+0","1.87e-2","MYH3,MYO1A,MYH8"
"14","1.59","SMART","IQ","3","159","56","10952","0.98","1.93e-1","1.00e+0","3.69","1.00e+0","1.00e+0","4.76e-2","MYH3,MYO1A,MYH8"
"14","1.59","INTERPRO","IQ_motif_EF-hand-BS","3","285","66","22313","0.98","2.05e-1","1.00e+0","3.56","1.00e+0","1.00e+0","5.24e-2","MYH3,MYO1A,MYH8"
"15","1.52","GOTERM_MF_DIRECT","peptidase inhibitor activity","8","277","158","24521","2.61","2.14e-3","9.59e-2","4.48","6.68e-1","9.35e-2","4.48e-4","COL28A1,SERPINB1A,SERPINA3K,BIRC5,SERPINA3M,TIMP1,SERPINA3N,CST6"
"15","1.52","UP_KW_MOLECULAR_FUNCTION","Protease inhibitor","8","182","150","12802","2.61","5.44e-3","8.85e-2","3.75","3.43e-1","8.51e-2","1.35e-3","COL28A1,SERPINB1A,SERPINA3K,BIRC5,SERPINA3M,TIMP1,SERPINA3N,CST6"
"15","1.52","GOTERM_BP_DIRECT","response to peptide hormone","5","287","82","26568","1.63","1.19e-2","4.48e-1","5.64","1.00e+0","4.45e-1","1.97e-3","STAT5A,SERPINA3K,SERPINA3M,TIMP1,SERPINA3N"
"15","1.52","UP_SEQ_FEATURE","REGION:RCL","3","282","14","22290","0.98","1.30e-2","4.92e-1","16.94","1.00e+0","4.88e-1","6.58e-4","SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","GOTERM_BP_DIRECT","response to cytokine","5","287","86","26568","1.63","1.40e-2","5.07e-1","5.38","1.00e+0","5.03e-1","2.43e-3","SERPINA3K,SERPINA3M,TIMP1,SERPINA3N,NFKB2"
"15","1.52","INTERPRO","Serpin_CS","4","285","53","22313","1.30","3.00e-2","9.86e-1","5.91","1.00e+0","9.85e-1","4.67e-3","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","UP_SEQ_FEATURE","SITE:Reactive bond","4","282","54","22290","1.30","3.07e-2","9.16e-1","5.86","1.00e+0","9.08e-1","4.83e-3","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","INTERPRO","Serpin_sf_2","4","285","66","22313","1.30","5.20e-2","1.00e+0","4.74","1.00e+0","1.00e+0","1.01e-2","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","INTERPRO","Serpin_fam","4","285","67","22313","1.30","5.39e-2","1.00e+0","4.67","1.00e+0","1.00e+0","1.06e-2","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","INTERPRO","Serpin_sf","4","285","67","22313","1.30","5.39e-2","1.00e+0","4.67","1.00e+0","1.00e+0","1.06e-2","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","INTERPRO","Serpin_sf_1","4","285","67","22313","1.30","5.39e-2","1.00e+0","4.67","1.00e+0","1.00e+0","1.06e-2","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","INTERPRO","Serpin_dom","4","285","67","22313","1.30","5.39e-2","1.00e+0","4.67","1.00e+0","1.00e+0","1.06e-2","SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","UP_KW_MOLECULAR_FUNCTION","Serine protease inhibitor","5","182","104","12802","1.63","5.99e-2","3.84e-1","3.38","9.91e-1","3.69e-1","1.63e-2","COL28A1,SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
"15","1.52","GOTERM_MF_DIRECT","serine-type endopeptidase inhibitor activity","5","277","136","24521","1.63","6.80e-2","7.78e-1","3.25","1.00e+0","7.58e-1","1.93e-2","COL28A1,SERPINB1A,SERPINA3K,SERPINA3M,SERPINA3N"
