"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"4","2.33","UP_SEQ_FEATURE","CARBOHYD:N-linked (GlcNAc...) asparagine","44","165","3741","22331","24.58","1.39e-3","2.83e-1","1.59","5.73e-1","2.83e-1","8.51e-4","POPDC2,FBN2,B4GALT2,CD86,GRIA2,ACHE,HHIP,LYPD2,F13A1,PLD4,FBLN1,THY1,KLK8,SCUBE1,CLMP,CALCR,TNN,SLITRK4,CPXM1,ABCB1B,GABRP,CD74,POSTN,SLC6A19,P2RY10,NEGR1,PCDHGC4,ELOVL3,CACNA2D2,CD8B1,SHISAL1,PDGFRL,FCGR1,MFAP4,SMOC2,IGHG2B,GREM2,SFRP4,SDK1,MANSC4,CNTN1,TYRO3,TNFSF8,DSCAML1"
"4","2.33","UP_KW_PTM","Glycoprotein","51","123","4604","14135","28.49","3.07e-2","2.60e-1","1.27","4.12e-1","2.46e-1","2.34e-2","B4GALT2,CD86,ACHE,HHIP,F13A1,SLC4A4,TNN,CPXM1,FCRL2,POSTN,SLC6A19,ELOVL3,CACNA2D2,CD8B1,PDGFRL,FCGR1,IGHG2B,SFRP4,GREM2,TYRO3,DSCAML1,PAPPA2,FBN2,POPDC2,GRIA2,PLD4,LYPD2,FBLN1,THY1,KLK8,CLMP,CALCR,SRPX2,SCUBE1,SLITRK4,GPC2,LY6G6D,ABCB1B,CD74,GABRP,P2RY10,NEGR1,PCDHGC4,SHISAL1,MFAP4,SMOC2,SDK1,COL3A1,MANSC4,CNTN1,TNFSF8"
"4","2.33","UP_KW_PTM","Disulfide bond","45","123","4096","14135","25.14","5.33e-2","2.60e-1","1.26","6.06e-1","2.46e-1","4.06e-2","FBN2,B4GALT2,CD86,CX3CR1,GRIA2,ACHE,DIPK1B,HHIP,DPT,PLD4,FBLN1,THY1,KLK8,CLEC3B,SCUBE1,CLMP,CALCR,SRPX2,TNN,CPXM1,LY6G6D,GABRP,CD74,IGKV8-24,FCRL2,POSTN,P2RY10,NEGR1,IGKV3-4,CACNA2D2,CD8B1,MUP7,PDGFRL,FCGR1,SMOC2,IGHG2B,GREM2,SFRP4,SDK1,COL3A1,CNTN1,TYRO3,TNFSF8,DSCAML1,PAPPA2"
"5","2.27","GOTERM_BP_DIRECT","positive regulation of type IIa hypersensitivity","3","168","8","26481","1.68","1.08e-3","2.49e-1","59.11","7.12e-1","2.49e-1","1.37e-5","FCGR1,IGHG3,IGHG2B"
"5","2.27","GOTERM_BP_DIRECT","phagocytosis, engulfment","4","168","38","26481","2.23","1.77e-3","3.40e-1","16.59","8.70e-1","3.39e-1","9.75e-5","FCGR1,IGHG3,IGHG2B,AIF1"
"5","2.27","GOTERM_BP_DIRECT","phagocytosis, recognition","3","168","18","26481","1.68","5.66e-3","5.93e-1","26.27","9.99e-1","5.92e-1","1.91e-4","FCGR1,IGHG3,IGHG2B"
"5","2.27","GOTERM_BP_DIRECT","positive regulation of phagocytosis","3","168","73","26481","1.68","7.77e-2","1.00e+0","6.48","1.00e+0","9.99e-1","1.13e-2","FCGR1,IGHG3,IGHG2B"
"6","2.02","GOTERM_CC_DIRECT","extracellular matrix","12","171","445","26676","6.70","1.41e-4","1.76e-2","4.21","3.84e-2","1.74e-2","3.23e-5","FBN2,MFAP4,SMOC2,POSTN,CLEC3B,COL3A1,SRPX2,TNN,F13A1,DPT,GPC2,FBLN1"
"6","2.02","UP_KW_CELLULAR_COMPONENT","Secreted","24","154","1915","19217","13.41","2.98e-2","2.02e-1","1.56","6.32e-1","2.02e-1","1.82e-2","FBN2,CD74,ACHE,POSTN,HHIP,F13A1,DPT,FBLN1,MUP7,KLK8,PDGFRL,MFAP4,SMOC2,IGHG2B,GREM2,SFRP4,CLEC3B,COL3A1,SCUBE1,SRPX2,TNN,GPC2,CPXM1,PAPPA2"
"6","2.02","GOTERM_CC_DIRECT","extracellular region","26","171","2693","26676","14.53","3.55e-2","5.48e-1","1.51","1.00e+0","5.42e-1","2.25e-2","FBN2,ACHE,HHIP,F13A1,FBLN1,KLK8,IGKV2-137,IGHG3,CLEC3B,SCUBE1,SRPX2,TNN,GPC2,CPXM1,CD74,POSTN,IGKV3-4,MUP7,PDGFRL,MFAP4,SMOC2,IGHG2B,GREM2,SFRP4,COL3A1,PAPPA2"
"6","2.02","UP_KW_PTM","Disulfide bond","45","123","4096","14135","25.14","5.33e-2","2.60e-1","1.26","6.06e-1","2.46e-1","4.06e-2","FBN2,B4GALT2,CD86,CX3CR1,GRIA2,ACHE,DIPK1B,HHIP,DPT,PLD4,FBLN1,THY1,KLK8,CLEC3B,SCUBE1,CLMP,CALCR,SRPX2,TNN,CPXM1,LY6G6D,GABRP,CD74,IGKV8-24,FCRL2,POSTN,P2RY10,NEGR1,IGKV3-4,CACNA2D2,CD8B1,MUP7,PDGFRL,FCGR1,SMOC2,IGHG2B,GREM2,SFRP4,SDK1,COL3A1,CNTN1,TYRO3,TNFSF8,DSCAML1,PAPPA2"
"7","1.89","GOTERM_BP_DIRECT","mitotic spindle organization","5","168","53","26481","2.79","3.51e-4","1.01e-1","14.87","3.33e-1","1.01e-1","2.17e-5","CCNB1,PLK1,TACC3,TUBG2,AURKB"
"7","1.89","GOTERM_CC_DIRECT","spindle","6","171","237","26676","3.35","1.83e-2","4.90e-1","3.95","9.94e-1","4.84e-1","4.37e-3","MAK,PLK1,KNTC1,KIF22,TUBG2,AURKB"
"7","1.89","GOTERM_CC_DIRECT","spindle microtubule","3","171","40","26676","1.68","2.69e-2","5.32e-1","11.70","9.99e-1","5.26e-1","2.15e-3","PLK1,TUBG2,AURKB"
