"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"9","0.33","GOTERM_MF_DIRECT","metal ion binding","9","32","4074","24521","26.47","1.30e-1","1.00e+0","1.69","1.00e+0","1.00e+0","7.16e-2","EGLN3,MUSK,MKNK2,LIPG,ZIM1,TRP63,CYP2E1,AMPD3,CALM4"
"9","0.33","UP_KW_LIGAND","Metal-binding","9","16","4169","6880","26.47","8.01e-1","1.00e+0","0.93","1.00e+0","1.00e+0","7.33e-1","EGLN3,MUSK,MKNK2,LIPG,ZIM1,TRP63,CYP2E1,AMPD3,CALM4"
"9","0.33","UP_KW_LIGAND","Zinc","4","16","2506","6880","11.76","9.51e-1","1.00e+0","0.69","1.00e+0","1.00e+0","8.90e-1","MKNK2,ZIM1,TRP63,AMPD3"
"10","0.28","KEGG_PATHWAY","Metabolic pathways","5","18","1667","10620","14.71","2.72e-1","1.00e+0","1.77","1.00e+0","1.00e+0","1.39e-1","GSTA3,LIPG,CYP2E1,AMPD3,ACOT4"
"10","0.28","GOTERM_MF_DIRECT","hydrolase activity","3","32","1870","24521","8.82","6.96e-1","1.00e+0","1.23","1.00e+0","1.00e+0","4.45e-1","LIPG,AMPD3,ACOT4"
"10","0.28","UP_KW_MOLECULAR_FUNCTION","Hydrolase","3","19","1912","12802","8.82","7.74e-1","1.00e+0","1.06","1.00e+0","1.00e+0","5.56e-1","LIPG,AMPD3,ACOT4"
"11","0.26","GOTERM_BP_DIRECT","positive regulation of transcription by RNA polymerase II","4","33","1328","26568","11.76","2.14e-1","1.00e+0","2.42","1.00e+0","1.00e+0","8.06e-2","MYOG,ZIM1,TRP63,TLR4"
"11","0.26","GOTERM_BP_DIRECT","regulation of DNA-templated transcription","4","33","1554","26568","11.76","2.87e-1","1.00e+0","2.07","1.00e+0","1.00e+0","1.25e-1","MYOG,MUSK,ZIM1,TRP63"
"11","0.26","GOTERM_MF_DIRECT","RNA polymerase II cis-regulatory region sequence-specific DNA binding","3","32","1060","24521","8.82","3.90e-1","1.00e+0","2.17","1.00e+0","1.00e+0","1.59e-1","MYOG,ZIM1,TRP63"
"11","0.26","GOTERM_MF_DIRECT","DNA-binding transcription factor activity, RNA polymerase II-specific","3","32","1080","24521","8.82","3.99e-1","1.00e+0","2.13","1.00e+0","1.00e+0","1.65e-1","MYOG,ZIM1,TRP63"
"11","0.26","GOTERM_MF_DIRECT","DNA binding","3","32","2205","24521","8.82","7.81e-1","1.00e+0","1.04","1.00e+0","1.00e+0","5.59e-1","MYOG,ZIM1,TRP63"
"11","0.26","UP_KW_MOLECULAR_FUNCTION","DNA-binding","3","19","1958","12802","8.82","7.86e-1","1.00e+0","1.03","1.00e+0","1.00e+0","5.73e-1","MYOG,ZIM1,TRP63"
"11","0.26","UP_KW_CELLULAR_COMPONENT","Nucleus","6","29","5576","19181","17.65","9.42e-1","1.00e+0","0.71","1.00e+0","1.00e+0","8.88e-1","MYOG,LGALS3,EGLN3,MKNK2,ZIM1,TRP63"
"11","0.26","UP_KW_BIOLOGICAL_PROCESS","Transcription regulation","3","24","2267","11883","8.82","9.51e-1","1.00e+0","0.66","1.00e+0","1.00e+0","8.63e-1","MYOG,ZIM1,TRP63"
"11","0.26","UP_KW_BIOLOGICAL_PROCESS","Transcription","3","24","2325","11883","8.82","9.56e-1","1.00e+0","0.64","1.00e+0","1.00e+0","8.76e-1","MYOG,ZIM1,TRP63"

