"celltype","Reversal_norm","Reversal_DR","Reversal_sAct","Aged"
"FAPs",-0.0287697032602281,-0.135265666924382,3.65452225875805,-0.0164978869912258
"Myonuclei",0,0,0,0
"FAPs",-0.134852696294579,-0.112202709852524,-0.510252387053872,0.00657489400975003
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.127760594691022,0.0908330401890038,-0.658867448778546,0.0128570259109613
"Muscle stem cell",-0.160012540271058,-0.104975289640702,-0.373602492294211,0.0967016583207507
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Fibroblasts",-0.102137033768723,-0.0435157959537282,-0.534986538256659,-0.13270367968305
"Myonuclei",0,0,0,0
"Muscle stem cell",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0379179062771017,-0.0698512815029525,-0.548889104582835,0.0177285499037322
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"FAPs",0.0618917428617181,0.141686502092704,-0.215455590743317,-0.0362037752060884
"Muscle stem cell",0.223909290525308,0.0547355787159235,-0.330028512507017,0.0166882027296204
"Macrophages",0.152721039832372,-0.208298634178219,5.89981602387561,-0.0271949091803456
"Myonuclei (Myh4+?)",-0.215828122726488,-0.522499732419055,0.977298491542407,-0.390096981217402
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",-0.132187299213083,-0.231869327461393,0.47134874706509,0.00238597936676832
"FAPs",0.0229573508497528,-0.00937120859350867,-0.651158117693433,0.0851840841808139
"FAPs",-0.193446257766227,-0.37807793228703,-0.588559905403498,-0.0371699799569085
"FAPs",-0.0194686666791561,0.130029294068817,-0.657309764153493,0.0724608458137179
"Myonuclei",0,0,0,0
"FAPs",0.207505423560401,0.386228901780861,-0.657141410058496,0.0575183464939733
"Endothelial cells",0.174234676789802,-0.0277351814250806,-0.278651433602393,0.20227464194698
"Macrophages",0.0280582464738197,-0.0952082949647932,-0.286804450592203,-0.0931947299567499
"Myonuclei",0,0,0,0
"Myonuclei (Myh1+)",0,0,0,0
"Lymphatic vessels",0.165738851765848,0.0333528331284694,-0.471824151245785,-0.0106920975458467
"FAPs",-0.0796127123825046,0.0732254497958011,-0.491622240552503,-0.00286701511603032
