"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"PROLIF","PT-1","Pdgfd","Pdgfrb",0.00148709725664416,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","TAL-1","Pdgfd","Pdgfrb",0.000837046848274446,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-4","TAL-1","Pdgfd","Pdgfrb",0.000892592989398511,0.03,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-5","TAL-1","Pdgfd","Pdgfrb",0.00116930709343016,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","PC_CNT","Pdgfd","Pdgfrb",0.00178328022560096,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-2","PC_CNT","Pdgfd","Pdgfrb",0.00110759992409372,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-4","PC_CNT","Pdgfd","Pdgfrb",0.00190096831888434,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-1(gEC)","PC_CNT","Pdgfd","Pdgfrb",0.00140590172736615,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-5","PC_CNT","Pdgfd","Pdgfrb",0.00248979028294464,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"Undef","PC_CNT","Pdgfd","Pdgfrb",0.00136299228153707,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"vSMC/MC","PC_CNT","Pdgfd","Pdgfrb",0.0011318426392387,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PECs?","PC_CNT","Pdgfd","Pdgfrb",0.00173005172683336,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","TAL-2","Pdgfd","Pdgfrb",0.000814574889874218,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"EC-5","TAL-2","Pdgfd","Pdgfrb",0.00113792970611781,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"PT-1","FIB","Pdgfd","Pdgfrb",0.00386734837359309,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"TAL-1","FIB","Pdgfd","Pdgfrb",0.020089155442194,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
"DCT/CNT","FIB","Pdgfd","Pdgfrb",0.00303522302299353,0,"PDGFD_PDGFRB","Pdgfd  - Pdgfrb","PDGF","Secreted Signaling","PMID: 15207812"
