"","Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"48","ENSMUSG00000024947","Men1",-0.384524487085223,0.0184437796402573,-0.0134167825126845,0.00556079791627475,0,0.0144614923185433,0.0479651628432431,"Worsening","Rescue","Rescue"
"49","ENSMUSG00000025203","Scd2",0.681510711722987,-0.0850208736414293,0.187015720872317,-0.10842063691635,0,0.159088676159238,0.124753539715437,"Worsening","Rescue","Rescue"
"50","ENSMUSG00000025287","Acot9",0.498081635193608,-0.00515027321484469,0.0260272076346098,-0.00638738175912981,0,0.0128239656068568,0.0103402190543378,"Worsening","Rescue","Rescue"
"51","ENSMUSG00000025371","Chmp6",-0.338555336533409,0.010318892987259,-0.0219091851203416,0.00468912012123686,0,0.0138503801749234,0.030479191652738,"Worsening","Rescue","Rescue"
"52","ENSMUSG00000025950","Idh1",-0.308880447581461,0.0771606354351424,-0.00628416020073558,0.0308849931722761,0,0.0999901204951824,0.249807445046494,"Worsening","Rescue","Rescue"
"53","ENSMUSG00000026213","Stk11ip",0.472807906804949,-0.0293409239628147,0.0292983156560183,-0.00689129242843797,0,0.0145752478527837,0.0620567540020412,"Worsening","Rescue","Rescue"
"54","ENSMUSG00000026585","Kifap3",0.373317017990616,-0.0157234737381639,0.0518761960250018,-0.00351507125445553,0,0.00941578091825403,0.0421182881584015,"Worsening","Rescue","Rescue"
"55","ENSMUSG00000026667","Uhmk1",-0.42833667115728,0.0204973787669305,-0.0164296702796381,0.023170498758471,0,0.0540941280975754,0.0478534296667868,"Worsening","Rescue","Rescue"
"56","ENSMUSG00000026755","Arpc5l",-0.313904705936879,0.0129200614240286,-0.0485887259842288,0.00963187968559237,0,0.0306840882071044,0.0411591835983071,"Worsening","Rescue","Rescue"
"57","ENSMUSG00000026869","Psmd5",-0.525189661711873,0.0688721987502475,-0.0249582573028443,0.00137432351174062,0,0.00261681371880202,0.13113776559454,"Worsening","Rescue","Rescue"
"58","ENSMUSG00000026965","Anapc2",0.278813063683902,-0.0890704614511285,0.000176824811877721,-0.000475362710079425,0,0.00170495135270404,0.319463013225629,"Worsening","Rescue","Rescue"
"59","ENSMUSG00000027001","Dusp19",-0.537208010067708,0.0176813603705279,-0.0206918099225658,0.00461420715078303,0,0.00858923743560983,0.0329134339756018,"Worsening","Rescue","Rescue"
"60","ENSMUSG00000027002","Nckap1",-0.291214022421552,0.0336610091464545,-0.0160490704458378,0.00187564300359363,0,0.00644077159470882,0.11558855877389,"Worsening","Rescue","Rescue"
"61","ENSMUSG00000027102","Hoxd8",0.509505785408218,-0.00343249378090165,0.0802084960746575,-0.0112630161613624,0,0.0221057669685505,0.00673690835159314,"Worsening","Rescue","Rescue"
"62","ENSMUSG00000027429","Sec23b",-0.500721671150686,0.00449508283366954,-0.119356137326153,0.0033546161758202,0,0.00669956258955421,0.00897720848258793,"Worsening","Rescue","Rescue"
"63","ENSMUSG00000028017","Egf",0.371676221725983,-0.00948002481229086,0.0721125195525085,-0.0423324780555681,0,0.113896115976926,0.0255061374878051,"Worsening","Rescue","Rescue"
"64","ENSMUSG00000028018","Gstcd",-0.460776394746086,0.0132045926252388,-0.00820263514642026,0.00375372022754898,0,0.00814651156254975,0.0286572679846486,"Worsening","Rescue","Rescue"
"65","ENSMUSG00000028042","Zbtb7b",-0.396450698424505,0.0382948826980607,-0.104514673324817,0.0989289614472386,0,0.24953660528379,0.0965943126099777,"Worsening","Rescue","Rescue"
"66","ENSMUSG00000028049","Scamp3",-0.340595555023501,0.0229677497414792,-0.0114249147718505,0.00342234655203497,0,0.0100481245323323,0.0674340853916736,"Worsening","Rescue","Rescue"
"67","ENSMUSG00000028156","Eif4e",-0.37533760438666,0.00575396389785279,-0.0216887894971092,0.015310074530829,0,0.0407901429323803,0.015330102368121,"Worsening","Rescue","Rescue"
"68","ENSMUSG00000028436","Dcaf12",-0.481585792615421,0.0407917741186702,-0.0260128674807735,0.000983773195724936,0,0.00204277869241576,0.084703026426789,"Worsening","Rescue","Rescue"
"69","ENSMUSG00000028976","Slc2a5",-0.541243223465015,0.125348601285266,-0.0533597558071359,0.0650156909250235,0,0.120122872871823,0.231593848848194,"Worsening","Rescue","Rescue"
"70","ENSMUSG00000028992","Nmnat1",-0.355086069669059,0.000152719827000832,-0.0262453160889977,0.000431479690061247,0,0.00121514113596004,0.000430092419967832,"Worsening","Rescue","Rescue"
"71","ENSMUSG00000029032","Arhgef16",-0.251478930291745,0.0137920055514321,-0.0459966268663116,0.0123431027648097,0,0.0490820553057475,0.0548435828617201,"Worsening","Rescue","Rescue"
"72","ENSMUSG00000029176","Anapc4",0.554088839946504,-0.0790035770684736,0.0373832982808042,-0.0160711331647818,0,0.0290046144339117,0.142582870061236,"Worsening","Rescue","Rescue"
"73","ENSMUSG00000029729","Zkscan1",-0.375653932175539,0.0305000870573577,-0.026245324471348,0.00175885191309027,0,0.00468210702042746,0.0811919813556094,"Worsening","Rescue","Rescue"
"74","ENSMUSG00000029772","Ahcyl2",-0.682004059569578,0.151054520444732,-0.00394121915530657,0.0122610196164526,0,0.0179779276155492,0.221486248249116,"Worsening","Rescue","Rescue"
"75","ENSMUSG00000029920","Smarcad1",-0.323428400485514,0.0430750343320535,-9.20644416585417e-05,0.00467218331086085,0,0.0144458040909432,0.133182597036598,"Worsening","Rescue","Rescue"
"76","ENSMUSG00000030407","Qpctl",-0.40424144839031,0.0490019319699129,-0.0107286407872519,0.006585897019641,0,0.0162919884783365,0.121219464666572,"Worsening","Rescue","Rescue"
"77","ENSMUSG00000030549","Rhcg",0.265723400393191,-0.0303385686979373,0.0535211203107009,-0.251870594189441,0,0.947867571379666,0.114173492635746,"Worsening","Rescue","Rescue"
"78","ENSMUSG00000030888","Rrp8",-0.381212923039074,0.0310544111558233,-0.0138835760271872,0.00213292094248464,0,0.00559509086281949,0.0814621154714638,"Worsening","Rescue","Rescue"
"79","ENSMUSG00000031628","Casp3",0.516801338964203,-0.0193710586640711,0.00460492108699216,-0.00109274102030442,0,0.00211443148056571,0.0374826015406529,"Worsening","Rescue","Rescue"
"80","ENSMUSG00000031683","Lsm6",0.460840531014963,-0.00705121716798582,0.02712449054847,-0.0174773600171395,0,0.0379249628470114,0.015300774765744,"Worsening","Rescue","Rescue"
"81","ENSMUSG00000031732","Phlpp2",-0.497067489977459,0.0226501698395471,-0.00433971465829753,0.0129052641827468,0,0.0259628007120965,0.045567594534445,"Worsening","Rescue","Rescue"
"82","ENSMUSG00000031776","Arl2bp",0.337361928414529,-0.0259645254675655,0.0188297647013583,-0.00198647463083154,0,0.00588825965089542,0.0769634131201135,"Worsening","Rescue","Rescue"
"83","ENSMUSG00000031864","Ints10",-0.632984847967576,0.0701800079198876,-0.00243478953001333,0.000303924660121826,0,0.000480145237437649,0.110871544785354,"Worsening","Rescue","Rescue"
"84","ENSMUSG00000032040","Dcps",-0.275152140971767,0.0406451168818392,-0.0182354832279144,0.00449051850792521,0,0.0163201292639986,0.147718701145814,"Worsening","Rescue","Rescue"
"85","ENSMUSG00000032121","Tmem218",0.556102066166028,-0.0156802855295968,0.000942054291487516,-0.0118566329731628,0,0.0213209655107142,0.028196776245955,"Worsening","Rescue","Rescue"
"86","ENSMUSG00000032456","Nmnat3",-0.480044239535242,0.011481782153218,-0.00182829990226652,0.0122237473192756,0,0.0254637933601913,0.0239181750505623,"Worsening","Rescue","Rescue"
"87","ENSMUSG00000032561","Acp3",0.503430183790117,-0.00937067933215927,0.0237722272120421,-0.00954983649520784,0,0.0189695350074385,0.0186136621002962,"Worsening","Rescue","Rescue"
"88","ENSMUSG00000032932","Hspa13",-0.172455340379363,0.0542023331207574,-0.00301686044887034,0.00127417949106901,0,0.00738846061981095,0.314297794440721,"Worsening","Rescue","Rescue"
