"","Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"27","ENSMUSG00000024231","Cul2",-0.3953444091759,0.000485692647987361,-0.0259470058596491,-0.000944158470055963,0,0,0.00122853045778437,"Worsening","Worsening","Rescue"
"28","ENSMUSG00000024371","C2",0.444597528987166,-0.0803889763359108,0.011852024242887,0.00249188313991876,0,0,0.180812917514508,"Worsening","Worsening","Rescue"
"29","ENSMUSG00000024816","Frmd8",0.348214940483248,-0.0541022075653184,0.00542237796455705,0.00265386654469078,0,0,0.155370150086714,"Worsening","Worsening","Rescue"
"30","ENSMUSG00000024976","Shoc2",-0.215864524165485,0.0462616501463099,-0.0519946665049518,-0.00800153043699206,0,0,0.214308721292457,"Worsening","Worsening","Rescue"
"31","ENSMUSG00000024983","Vti1a",-0.434057012500803,0.00518728624356678,-0.0113812106234704,-0.00513688840167439,0,0,0.0119507025440746,"Worsening","Worsening","Rescue"
"32","ENSMUSG00000025217","Btrc",-0.263916924446512,0.0158762894584729,-0.000281179558644262,-0.0101697148602349,0,0,0.0601563900904375,"Worsening","Worsening","Rescue"
"33","ENSMUSG00000025224","Gbf1",-0.272018776576174,0.0632606079214104,-0.0345996484885922,-0.000583542762990585,0,0,0.232559710464308,"Worsening","Worsening","Rescue"
"34","ENSMUSG00000025393","Atp5f1b",-0.535983543569283,0.0264004742557558,-0.00886085528153326,-0.00173219194968897,0,0,0.0492561284250385,"Worsening","Worsening","Rescue"
"35","ENSMUSG00000025580","Eif4a3",-0.300749776315156,0.0370246191753445,-0.0010153911285326,-0.00182940757218062,0,0,0.123107719742895,"Worsening","Worsening","Rescue"
"36","ENSMUSG00000025602","Zfp202",0.490717844017094,-0.0617607647812801,0.0211880349826625,0.0031825871037401,0,0,0.12585799667625,"Worsening","Worsening","Rescue"
"37","ENSMUSG00000025762","Larp1b",-0.270082621990949,0.0117695080852218,-0.0762826492394185,-0.0349030882123912,0,0,0.0435774356693567,"Worsening","Worsening","Rescue"
"38","ENSMUSG00000025786","Zdhhc3",-0.190718909684542,0.00920334711150833,-0.0108890476317173,-0.0011992079187036,0,0,0.0482560807773654,"Worsening","Worsening","Rescue"
"39","ENSMUSG00000025868","Higd2a",-0.402406273973367,0.0411269756452441,-0.0182358338138301,-0.000172278751414205,0,0,0.102202620349717,"Worsening","Worsening","Rescue"
"40","ENSMUSG00000025894","Aasdhppt",-0.41510588690686,0.00498243706925752,-0.120208147014302,-0.00918981891833967,0,0,0.0120028099490082,"Worsening","Worsening","Rescue"
"41","ENSMUSG00000026355","Mcm6",0.518697313821061,-0.0992741948074636,0.0375259308220917,0.00111570814691625,0,0,0.191391380217772,"Worsening","Worsening","Rescue"
"42","ENSMUSG00000026930","Gpsm1",0.619039793255026,-0.0353078393661065,0.0653934581494195,0.00191920453910429,0,0,0.057036461550317,"Worsening","Worsening","Rescue"
"43","ENSMUSG00000027082","Tfpi",0.394521162406461,-0.0104121455407249,0.0447671639418395,0.0135833027203439,0,0,0.0263918555780732,"Worsening","Worsening","Rescue"
"44","ENSMUSG00000027131","Emc4",-0.199958941216069,0.00719213177569701,-0.00587721528483824,-0.0025317707473466,0,0,0.0359680428989941,"Worsening","Worsening","Rescue"
"45","ENSMUSG00000027599","Armc1",-0.470129784938816,0.0169476920251488,-0.0602259996733404,-0.00179496207437506,0,0,0.0360489647073828,"Worsening","Worsening","Rescue"
"46","ENSMUSG00000027893","Ahcyl1",-0.424137719348791,0.00237993841023258,-0.00326558254301052,-0.00293397288665728,0,0,0.00561123970272361,"Worsening","Worsening","Rescue"
"47","ENSMUSG00000028165","Cisd2",-0.279057132284454,0.0348692460023682,-0.0194944137085887,-0.000534422042231893,0,0,0.124953788913822,"Worsening","Worsening","Rescue"
"48","ENSMUSG00000028550","Atg4c",-0.323237594524505,0.0563361222100538,-0.0549271823193838,-0.0244078960061368,0,0,0.174287035803884,"Worsening","Worsening","Rescue"
"49","ENSMUSG00000029716","Tfr2",0.857332003027318,-0.0487566724333242,0.0740648648618182,0.00517437985712461,0,0,0.0568702349395099,"Worsening","Worsening","Rescue"
"50","ENSMUSG00000031373","Car5b",-0.245151364923681,0.000522754965864786,-0.01554958805054,-0.0142415115250709,0,0,0.00213237632198184,"Worsening","Worsening","Rescue"
"51","ENSMUSG00000031783","Polr2c",-0.468842768488188,0.00206628024840708,-0.0420021057077466,-0.00341995345573814,0,0,0.00440719231965533,"Worsening","Worsening","Rescue"
"52","ENSMUSG00000032579","Hemk1",-0.446543901765326,0.0333734227735125,-0.0538012146965928,-0.00629652021719174,0,0,0.074737159418317,"Worsening","Worsening","Rescue"
"53","ENSMUSG00000033793","Atp6v1h",-0.277491654525336,0.00256907731359348,-0.0471422883179377,-0.000106054010325143,0,0,0.00925821469473747,"Worsening","Worsening","Rescue"
"54","ENSMUSG00000033964","Zbtb41",-0.634067456232159,0.0735586905020003,-0.00756801979033165,-0.00152704583419616,0,0,0.116010827837011,"Worsening","Worsening","Rescue"
"55","ENSMUSG00000034211","Mrps17",-0.281836579567493,0.00432765409151229,-0.0137785825855451,-0.00983270467469565,0,0,0.0153551895149789,"Worsening","Worsening","Rescue"
"56","ENSMUSG00000034343","Ube2f",-0.301088649839291,0.0228162283934759,-0.133903211704851,-0.000479121067250788,0,0,0.0757791049435251,"Worsening","Worsening","Rescue"
"57","ENSMUSG00000034863","Ano8",0.440010170460841,-0.000741448944749045,0.0270867535918341,0.00310852365278978,0,0,0.00168507228815301,"Worsening","Worsening","Rescue"
"58","ENSMUSG00000035051","Dhx57",0.315491274850535,-0.042235149864008,0.00281487097037202,0.00109642003119484,0,0,0.133871055178996,"Worsening","Worsening","Rescue"
"59","ENSMUSG00000035885","Cox8a",-0.224309109711277,0.0386222829325398,-0.0267217678253447,-0.00789923616853497,0,0,0.172183300902282,"Worsening","Worsening","Rescue"
"60","ENSMUSG00000036123","Slc9a3",-0.365945104855876,0.00440655836966611,-0.127207070803479,-0.00199686354315344,0,0,0.0120415830439967,"Worsening","Worsening","Rescue"
"61","ENSMUSG00000036291","Ap5m1",-0.417445544873908,0.0179815869145342,-0.0438352578495014,-0.00202788571848135,0,0,0.0430752876281519,"Worsening","Worsening","Rescue"
"62","ENSMUSG00000036299","BC031181",-0.418031137934594,0.0271962161595862,-0.0133010151277826,-0.000287206113854475,0,0,0.0650578717507915,"Worsening","Worsening","Rescue"
"63","ENSMUSG00000036943","Rab8b",0.414021334400802,-0.000808410417552558,0.00143326061812007,0.00300102844280545,0,0,0.00195258154684841,"Worsening","Worsening","Rescue"
"64","ENSMUSG00000036966","Spryd3",0.327863660466678,-0.0139274390011962,0.0335244973010366,0.00423799645289605,0,0,0.0424793616388351,"Worsening","Worsening","Rescue"
"65","ENSMUSG00000037455","Slc18b1",-0.50182093940962,0.0614112744485144,-0.0425951800681821,-0.0014584364272463,0,0,0.122376867176494,"Worsening","Worsening","Rescue"
"66","ENSMUSG00000037466","Tedc1",0.819594130008406,-0.0525779969596314,0.0272944430629522,0.00210779717817047,0,0,0.0641512610139023,"Worsening","Worsening","Rescue"
"67","ENSMUSG00000038080","Kdm1b",-0.318936922149544,0.0313554686684157,-0.061972418592133,-0.0128862372856582,0,0,0.0983124451602805,"Worsening","Worsening","Rescue"
