"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Symbol"
"ENSMUSG00000037005",237.773910995402,0.506386928620831,0.251399806901224,0.0126146491460783,0.0358111271576294,"Xpnpep2"
"ENSMUSG00000037022",467.407732023684,-0.332150847309883,0.121109661034817,0.00354342192338739,0.0120367410135357,"Mmaa"
"ENSMUSG00000037239",108.623308940222,0.722602785922253,0.308054387507128,0.00261594983466875,0.00925282345042268,"Spred3"
"ENSMUSG00000037347",280.560925835473,-1.7205450412576,0.137642619980919,6.16017668675184e-37,7.24968959306552e-35,"Chst7"
"ENSMUSG00000037348",1145.57536710895,-1.56623378130321,0.195514939254257,1.24963346652895e-16,3.18640513023004e-15,"Paqr7"
"ENSMUSG00000037361",642.302529795835,-0.341190492341854,0.14696053975283,0.0112085905950876,0.0323599445994624,"Sf3b6"
"ENSMUSG00000037434",1783.11260131109,-0.822082910873212,0.128434721092229,1.24965026738292e-11,1.87863145638541e-10,"Slc30a1"
"ENSMUSG00000037447",89.4796063766504,1.13641401166386,0.396978757049414,0.000277494725954819,0.00125462437020127,"Arid5a"
"ENSMUSG00000037477",24.6590434404398,-1.1767517654231,0.529821404618743,0.00146613734434122,0.00555217167585731,"Tbx10"
"ENSMUSG00000037548",136.239783282739,1.07269371678982,0.251824316713804,1.64327249051717e-06,1.17143536071312e-05,"H2-DMb2"
"ENSMUSG00000037573",2989.51946050076,-0.527952804326428,0.220081181991873,0.00428065672221203,0.0141428810090214,"Tob1"
"ENSMUSG00000037606",710.201315365995,0.351938968580451,0.106503739228493,0.000523082334831455,0.00221730276160759,"Osbpl5"
"ENSMUSG00000037613",56.811078103099,1.50324330964054,0.378221808143043,4.0928354799648e-06,2.71070279257476e-05,"Tnfrsf23"
"ENSMUSG00000037638",163.08780975462,1.32247829370362,0.236563081983733,2.4150868054756e-09,2.6626198156377e-08,"Zbtb42"
"ENSMUSG00000037740",676.129603973251,-0.273399507423516,0.105065308394593,0.00645923722178389,0.0201265500711358,"Mrps26"
"ENSMUSG00000037784",501.420703635534,-0.389898339240344,0.169440007395696,0.00981310695504784,0.0288503893908273,"Dzip1l"
