"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol"
"ENSMUSG00000002107",272.096930681189,0.802283481427796,0.234919162536362,6.28925853724139e-05,0.000330132127334901,0.0417799839985996,0.441564967594863,"Celf2"
"ENSMUSG00000002204",24250.8018545559,-1.32342181251989,0.120915709154618,1.15809575114851e-28,7.83447836550775e-27,1.25471479812033e-12,-0.879100453980323,"Napsa"
"ENSMUSG00000002205",656.650511046026,-0.357427019961257,0.130955890554581,0.0033628690098847,0.0115118935865055,0.0823806765479115,-0.256034663289905,"Vrk3"
"ENSMUSG00000002222",2830.86500480227,-0.285506936477471,0.128074512463987,0.0171370422592512,0.0463284808337974,0.574552296069756,0.0954491520432902,"Rmnd5a"
"ENSMUSG00000002279",358.291907741181,-0.615565227732258,0.129106992755234,3.04502990440415e-07,2.45690059913567e-06,1.95101870090144e-05,-0.558024655656348,"Lmf1"
"ENSMUSG00000002297",76.2999090790396,0.683206104494068,0.24480018070982,0.000756997388929088,0.00310047797949148,0.0951197832245528,0.384153085883956,"Dbf4"
"ENSMUSG00000002325",506.183426415349,0.652989264643302,0.212656253501874,0.000329127393176958,0.00146181659734179,0.00231620063381873,0.622680346582841,"Irf9"
"ENSMUSG00000002365",1751.09348431152,-0.657755490892071,0.0714500912082145,4.23760770501429e-21,1.55788871802272e-19,4.90890712521251e-15,-0.570860920963385,"Snx9"
"ENSMUSG00000002413",933.429453404297,-0.512015577656376,0.13999589309885,6.98709412981805e-05,0.000363215669492815,0.00317537322183043,-0.427118130410529,"Braf"
"ENSMUSG00000002458",83.0461318800509,1.13322752639239,0.332896231969925,4.73049738369189e-05,0.00025517999041022,0.309472088507805,0.285870685414652,"Rgs19"
"ENSMUSG00000002489",250.422798181286,1.18530857670899,0.248893617182218,1.70219090661633e-07,1.42727128759242e-06,2.78289916991001e-06,1.14828779009368,"Tiam1"
"ENSMUSG00000002550",1145.63960598482,-0.862583629217922,0.107654891402291,8.69143682344483e-17,2.23917081582246e-15,2.07312871728804e-12,-0.764931213606159,"Uck1"
"ENSMUSG00000002565",2201.7344383347,1.82017188150907,0.159446468165676,2.10927589904293e-31,1.77010077451751e-29,9.76192817865002e-23,1.58944184569998,"Scin"
"ENSMUSG00000002603",340.142610176696,0.459642923989952,0.175978732672952,0.00311770999339929,0.0107821481583583,0.162267707876807,0.265963773033153,"Tgfb1"
"ENSMUSG00000002688",236.968264315696,0.36937250567066,0.145724955786251,0.00565586351550996,0.0179437660647595,0.442191633707938,0.13924805296717,"Prkd1"
"ENSMUSG00000002748",1952.82937109133,-0.413050725542175,0.125329029102313,0.000422484009969814,0.00183426860386152,0.00234257305478636,-0.404314978455839,"Baz1b"
"ENSMUSG00000002767",763.517738537488,-0.274443031362477,0.109742464360255,0.00858973201767773,0.0257640144924736,0.0280600297736453,-0.271833982414131,"Mrpl2"
"ENSMUSG00000002769",267.991601099125,-1.42693257225953,0.287373657558204,6.01972963119651e-08,5.42239142368059e-07,0.373023082756402,-0.23490410535274,"Gnmt"
"ENSMUSG00000002808",260.180433248421,0.847372409069279,0.132683125221268,1.34584121890943e-11,2.01410353671103e-10,0.0136537409048678,0.347343315098454,"Epdr1"
"ENSMUSG00000002844",371.681656397407,0.33812330896044,0.128976708078649,0.0049599429194159,0.0160578582823461,0.0267741192453681,0.314581142119406,"Adprh"
"ENSMUSG00000002870",235.326638590904,0.920894453540936,0.159266805811431,5.88876015486623e-10,7.04702471240279e-09,0.128954031139975,0.26050716386846,"Mcm2"
"ENSMUSG00000002897",411.481724422779,-0.8453579017002,0.170164846432721,5.6046799465151e-08,5.05998544967039e-07,0.0192592575459671,-0.392917270467524,"Il17ra"
"ENSMUSG00000002900",3271.5765827101,0.204762027062581,0.0899637476226042,0.018693324612355,0.0496715475237312,0.47972720428236,0.0855929090900166,"Lamb1"
"ENSMUSG00000002957",2638.58835705512,-0.6835235383696,0.0720689952322355,2.70210680207701e-22,1.10808664302082e-20,1.6517970620669e-16,-0.60540077349204,"Ap2a2"
"ENSMUSG00000002980",4371.94587269761,1.63870957371566,0.108239846049442,9.33096762705531e-53,2.68961761064497e-50,1.05637413922948e-45,1.55935150156396,"Bcam"
"ENSMUSG00000002981",3131.97862587888,-0.563772102926886,0.0799298384665105,3.62368613622464e-13,6.36673971407879e-12,1.28765385818401e-11,-0.555935581676703,"Clptm1"
"ENSMUSG00000002983",142.818177105394,1.34364006901123,0.210752492225035,2.20421878853341e-11,3.20700127908859e-10,6.79745869180037e-08,1.15845658733345,"Relb"
"ENSMUSG00000003037",1269.09328610395,-0.427467017501521,0.132682535372578,0.000514312432287131,0.00218549961622076,0.00597671096199156,-0.386491452939318,"Rab8a"
"ENSMUSG00000003051",425.170323081645,1.05265791642017,0.249809986273834,2.00242528521229e-06,1.40679040966398e-05,0.00868882803363915,0.606412660430925,"Elf3"
