"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000001891",3541.43632600603,-0.533859505373504,0.0874548022146682,2.52122380168834e-10,3.18176524059514e-09,9.27216052401101e-07,-0.445704228847579,"Ugp2","ENSMUSG00000001891"
"ENSMUSG00000001999",804.094827156833,-0.634112843571141,0.130132996155549,1.64762673629839e-07,1.38326923420172e-06,0.0558763146946832,-0.266136386849862,"Blvra","ENSMUSG00000001999"
"ENSMUSG00000002033",19.4046705048198,0.950100045658766,0.553851247161663,0.00747001056958894,0.0228149631785249,0.496883836625051,0.240235646742885,"Cd3g","ENSMUSG00000002033"
"ENSMUSG00000002052",1863.04860167508,-0.401190844823571,0.101586838543136,3.59196466985789e-05,0.000198722073209467,0.0105435061253688,-0.285427049593205,"Supt6","ENSMUSG00000002052"
"ENSMUSG00000002058",69.9639662287652,0.578330164673372,0.296451988304985,0.0114118358653097,0.0328726394559028,0.550061732616178,0.170727879286841,"Unc119","ENSMUSG00000002058"
"ENSMUSG00000002068",17.4558782628574,1.51237384555758,0.674860704819834,0.00062273823204641,0.00259059625542168,0.202725408378762,0.480369508372186,"Ccne1","ENSMUSG00000002068"
"ENSMUSG00000002107",272.096930681189,0.802283481427796,0.234919162536362,6.28925853724139e-05,0.000330132127334901,0.0417799839985996,0.441564967594863,"Celf2","ENSMUSG00000002107"
"ENSMUSG00000002205",656.650511046026,-0.357427019961257,0.130955890554581,0.0033628690098847,0.0115118935865055,0.0823806765479115,-0.256034663289905,"Vrk3","ENSMUSG00000002205"
"ENSMUSG00000002222",2830.86500480227,-0.285506936477471,0.128074512463987,0.0171370422592512,0.0463284808337974,0.574552296069756,0.0954491520432902,"Rmnd5a","ENSMUSG00000002222"
"ENSMUSG00000002297",76.2999090790396,0.683206104494068,0.24480018070982,0.000756997388929088,0.00310047797949148,0.0951197832245528,0.384153085883956,"Dbf4","ENSMUSG00000002297"
"ENSMUSG00000002413",933.429453404297,-0.512015577656376,0.13999589309885,6.98709412981805e-05,0.000363215669492815,0.00317537322183043,-0.427118130410529,"Braf","ENSMUSG00000002413"
