"GeneID","log2FoldChange_aging","padj_aging","log2FoldChange_intervention","padj_intervention","Symbol","LFC_Sum","rescue_significant"
"ENSMUSG00000002957",-0.6835235383696,1.10808664302082e-20,0.0479633223169536,0.670990956214013,"Ap2a2",-0.635560216052647,"No"
"ENSMUSG00000002980",1.63870957371566,2.68961761064497e-50,-0.0369517761851862,0.801409850114988,"Bcam",1.60175779753047,"No"
"ENSMUSG00000002981",-0.563772102926886,6.36673971407879e-12,0.00408507137929964,0.982387485765024,"Clptm1",-0.559687031547586,"No"
"ENSMUSG00000002983",1.34364006901123,3.20700127908859e-10,-0.0509644063373477,0.718333025964874,"Relb",1.29267566267388,"No"
"ENSMUSG00000003037",-0.427467017501521,0.00218549961622076,0.0154232564423859,0.933267186750235,"Rab8a",-0.412043761059135,"No"
"ENSMUSG00000003051",1.05265791642017,1.40679040966398e-05,-0.114469868830439,0.378979316235348,"Elf3",0.938188047589734,"No"
"ENSMUSG00000003053",2.56340840999502,0.000791418801038753,-0.011563219152525,0.934627279951452,"Cyp2c29",2.55184519084249,"No"
"ENSMUSG00000003166",-0.691948552499912,2.90424708180179e-07,0.018470368133996,0.915865292986352,"Dgcr2",-0.673478184365916,"No"
"ENSMUSG00000003226",-0.282772562767945,0.000216900373826142,0.104389692868499,0.226606545885669,"Ranbp2",-0.178382869899446,"No"
"ENSMUSG00000003271",1.3402553145722,0.000152228643037201,-0.0123990393907591,0.943359177704361,"Sult2b1",1.32785627518144,"No"
"ENSMUSG00000003273",1.01571774012731,0.00236474072800915,-0.0557600282129036,0.683750008277914,"Car11",0.959957711914406,"No"
"ENSMUSG00000003279",1.1265311820764,0.0199443564011023,-0.0637782941949595,0.558164272887058,"Dlgap1",1.06275288788144,"No"
"ENSMUSG00000003283",0.789923870656529,0.012008492570815,-0.361318792448968,0.0721462051796941,"Hck",0.428605078207561,"No"
"ENSMUSG00000003309",1.3444194982142,2.31425490844426e-24,-0.00352663644219389,0.985926649660324,"Ap1m2",1.34089286177201,"No"
"ENSMUSG00000003316",-0.345375771675346,0.00382060020019253,0.103431943040464,0.345848724028935,"Glg1",-0.241943828634882,"No"
"ENSMUSG00000003352",1.70438283684978,4.98516787838203e-22,-0.0344479357740052,0.826052522733599,"Cacnb3",1.66993490107578,"No"
"ENSMUSG00000003355",0.514182722928274,0.0401466301874896,-0.0223480840230278,0.889663283316491,"Fkbp11",0.491834638905246,"No"
"ENSMUSG00000003410",1.18687310519517,0.000639287179389777,-0.103716228385822,0.433496095031079,"Elavl3",1.08315687680935,"No"
"ENSMUSG00000003438",-0.862021309314148,1.05250662968069e-11,0.0105572003402664,0.956976818918369,"Timm50",-0.851464108973881,"No"
"ENSMUSG00000003452",0.530726347625736,0.004367352892894,-0.00306269908204646,0.987334667398962,"Bicd1",0.52766364854369,"No"
"ENSMUSG00000003518",0.645905257226326,2.37397017649359e-05,-0.152922152892858,0.206368057266426,"Dusp3",0.492983104333468,"No"
"ENSMUSG00000003526",-0.918939323953394,3.37756834763177e-08,0.694163677707312,0.000124037588173312,"Prodh",-0.224775646246082,"Yes"
"ENSMUSG00000003531",-0.357014629596636,0.000136134169114307,0.181841187206293,0.0503268379758764,"Dgcr6",-0.175173442390343,"No"
"ENSMUSG00000003534",0.395705748231321,0.000735217179281687,-0.0227639524248133,0.886367856414537,"Ddr1",0.372941795806508,"No"
"ENSMUSG00000003546",-0.612575785594544,0.000435632874533211,0.026730549095977,0.868626835705475,"Klc4",-0.585845236498567,"No"
"ENSMUSG00000003573",1.15228442128694,1.59792104620697e-12,-0.111045965537988,0.348107570669739,"Homer3",1.04123845574895,"No"
"ENSMUSG00000003585",1.09568890976743,0.00531436089706384,-0.026645694685749,0.859183799784463,"Sec14l2",1.06904321508168,"No"
"ENSMUSG00000003660",-0.323411887870545,0.000538697716893833,0.0491363250065308,0.69202215882175,"Snrnp200",-0.274275562864014,"No"
"ENSMUSG00000003731",-0.399442522692254,3.22620564653867e-06,0.110836863241704,0.235062066411897,"Kpna6",-0.28860565945055,"No"
"ENSMUSG00000003746",-1.54314486477275,2.13211443952937e-41,0.181909492022756,0.0939723685491627,"Man1a",-1.36123537274999,"No"
"ENSMUSG00000003779",1.50652865749287,1.22380563677983e-05,-0.123186438722649,0.358857811753686,"Kif20a",1.38334221877022,"No"
"ENSMUSG00000003809",-1.58277083904123,1.89993293875534e-44,0.141197010930021,0.186393762125842,"Gcdh",-1.44157382811121,"No"
"ENSMUSG00000003812",0.435733530925738,0.0154485057912942,-0.11516599985038,0.34958154826237,"Dnase2a",0.320567531075359,"No"
"ENSMUSG00000003813",-0.512027199508872,0.000105730207205553,0.0232541509901566,0.886367856414537,"Rad23a",-0.488773048518715,"No"
"ENSMUSG00000003863",1.85212591444879,2.08643247952251e-05,-0.0222058862580559,0.886367856414537,"Ppfia3",1.82992002819074,"No"
"ENSMUSG00000003872",1.19531111544489,0.0175958538555529,-0.0536750924992115,NA,"Lin7b",1.14163602294568,NA
"ENSMUSG00000003873",0.559723065232602,7.42392767362474e-10,-0.334532603031896,0.000441185751325292,"Bax",0.225190462200706,"Yes"
"ENSMUSG00000003949",-1.69017237490902,2.05875314160028e-23,0.0134029376024863,0.942018241812781,"Hlf",-1.67676943730653,"No"
"ENSMUSG00000003970",-0.243889995575528,0.0402244167786745,0.0443223732054897,0.745987250691537,"Rpl8",-0.199567622370038,"No"
"ENSMUSG00000004044",1.06559642257556,3.37206526306201e-13,-0.0500152114497151,0.720922859916413,"Cavin1",1.01558121112585,"No"
"ENSMUSG00000004054",-0.414697066385316,0.00113957067180022,0.0265010810331109,0.86742541343731,"Map3k11",-0.388195985352205,"No"
"ENSMUSG00000004056",-0.301400859702407,0.000392604802016657,0.0375607143547709,0.771263084291934,"Akt2",-0.263840145347636,"No"
"ENSMUSG00000004085",0.947643016163447,1.80732148793152e-06,-0.0385627167318503,0.801792884962785,"Map3k20",0.909080299431597,"No"
"ENSMUSG00000004098",1.30937595134488,0.000262609847668112,-0.0674587658082207,0.614789484010524,"Col5a3",1.24191718553665,"No"
"ENSMUSG00000004231",0.530823289012916,0.0101390411855743,-0.119169274584801,0.350574675638238,"Pax2",0.411654014428116,"No"
"ENSMUSG00000004267",1.61744533093625,2.05127805745899e-05,-0.0761395488273972,0.563367322657694,"Eno2",1.54130578210885,"No"
"ENSMUSG00000004268",-0.60295229815181,2.53548693259756e-07,0.0278898146428457,0.858582671280128,"Emg1",-0.575062483508964,"No"
"ENSMUSG00000004270",-0.333450813880393,0.00110027438009194,0.186877456272082,0.0568685208358484,"Lpcat3",-0.14657335760831,"No"
"ENSMUSG00000004319",-0.77777066528229,3.019262712953e-11,0.0265158457232336,0.866152745143966,"Clcn3",-0.751254819559056,"No"
"ENSMUSG00000004347",1.21949982005814,3.43507290076727e-05,-0.0339700674199686,0.825388718306734,"Pde1c",1.18552975263817,"No"
"ENSMUSG00000004356",-1.68298426544442,1.7383202357054e-14,0.250914202175463,0.109897609552345,"Utp20",-1.43207006326896,"No"
"ENSMUSG00000004364",-0.617140858672977,7.72495863174661e-08,0.0796184114656792,0.49451990004587,"Cul3",-0.537522447207297,"No"
"ENSMUSG00000004371",0.934196766563694,0.0431880546729157,-0.0777021311753504,NA,"Il11",0.856494635388344,NA
"ENSMUSG00000004394",-0.462518578391761,6.89396756294107e-08,0.122174519323211,0.185900677132668,"Tmed4",-0.34034405906855,"No"
"ENSMUSG00000004446",-0.880776102249736,1.05372141154405e-07,0.175373696722394,0.16914162191036,"Bid",-0.705402405527342,"No"
"ENSMUSG00000004462",-0.556544909057462,1.89971028251463e-05,0.0396120103967565,0.790272123183287,"Tbccd1",-0.516932898660706,"No"
"ENSMUSG00000004535",-0.425921255178612,0.000157712278464108,0.0769596594366777,0.508479398060071,"Tax1bp1",-0.348961595741934,"No"
"ENSMUSG00000004552",0.776661393487184,0.0338200872963392,-0.0165651551344477,0.918778387621081,"Ctse",0.760096238352737,"No"
"ENSMUSG00000004591",-0.413807197923431,3.39504171746294e-06,0.238636126311347,0.00907915060308357,"Pkn2",-0.175171071612084,"Yes"
"ENSMUSG00000004612",1.01792428882512,0.0180898234159442,-0.117201072197364,0.348825103651035,"Nkg7",0.900723216627754,"No"
"ENSMUSG00000004655",-0.668785229228052,4.64565439483693e-11,0.0151842912757518,0.929965372712051,"Aqp1",-0.6536009379523,"No"
"ENSMUSG00000004665",0.502065827135374,0.0133778266025549,-0.0484512652529194,0.734158879642669,"Cnn2",0.453614561882455,"No"
"ENSMUSG00000004730",0.880458107514756,0.0049789697354999,-0.0758829947705607,0.569139631863319,"Adgre1",0.804575112744195,"No"
"ENSMUSG00000004798",-0.378532409089303,0.000122431991725755,0.0934403034405288,0.364915975930984,"Ulk2",-0.285092105648774,"No"
"ENSMUSG00000004837",0.586081164686453,0.000789526063842756,-0.153859240622877,0.220810248851805,"Grap",0.432221924063577,"No"
"ENSMUSG00000004864",0.583320418906719,0.00605469521985023,-0.0658021708648595,0.625684641520784,"Mapk13",0.51751824804186,"No"
"ENSMUSG00000004865",-0.778010624938658,3.08162309688342e-08,5.06386381934518e-05,0.999557440271575,"Srpk1",-0.777959986300465,"No"
"ENSMUSG00000004891",1.2193396234169,4.3126996081243e-15,-0.142676868394584,0.232845230481163,"Nes",1.07666275502232,"No"
"ENSMUSG00000004951",0.83109503115952,0.000303145003233957,-0.0803451750494714,0.540408434798558,"Hspb1",0.750749856110049,"No"
"ENSMUSG00000004988",0.947418585681869,6.0334614284828e-12,-0.134077183088897,0.235546795860867,"Fxyd4",0.813341402592972,"No"
"ENSMUSG00000005034",-0.333928035911971,0.0023882837231623,0.00345887588125325,0.985874057058118,"Prkacb",-0.330469160030718,"No"
"ENSMUSG00000005054",0.788244112611801,2.45541364874073e-14,-0.0673504308407705,0.566039409015404,"Cstb",0.720893681771031,"No"
"ENSMUSG00000005069",-0.743466523320356,1.6442674264421e-13,0.0632314356637758,0.598242663370255,"Pex5",-0.680235087656581,"No"
"ENSMUSG00000005087",2.44849408637278,7.12143645444526e-17,-0.0912035900832332,0.488164841679783,"Cd44",2.35729049628955,"No"
"ENSMUSG00000005124",0.786753617988401,0.0104713724378496,-0.219647361794581,0.170493538828202,"Ccn4",0.56710625619382,"No"
"ENSMUSG00000005125",-1.00720627628804,0.0170133806179297,0.125699495350265,0.322451711744594,"Ndrg1",-0.881506780937773,"No"
"ENSMUSG00000005142",-0.554787085296337,3.01253279522438e-06,0.0453472658067425,0.743367183297234,"Man2b1",-0.509439819489595,"No"
