"","Reversal_norm1","Reversal_DR1","Reversal_sAct1","celltype"
"Cell_167",0,0,0,"PT-1"
"Cell_168",0,0,0,"TAL-2"
"Cell_169",0.244816745105323,0.202184878660407,-0.0924133175943204,"FIB"
"Cell_170",0,0,0,"TAL-1"
"Cell_171",0,0,0,"PT-1"
"Cell_172",0,0,0,"PT-1"
"Cell_173",0.187126001785143,-0.0883063038024761,0.2462190177002,"PT-1"
"Cell_174",0,0,0,"PT-1"
"Cell_175",0,0,0,"PT-1"
"Cell_176",0,0,0,"PT-1"
"Cell_177",0.025411757153404,-0.118319943601594,-0.0895109926746982,"PT-2"
"Cell_178",0.285917285686982,0.575542417495471,0.0663559742314292,"EC-2"
"Cell_179",0.116188020162582,0.0639628314330135,0.0394830415637094,"vSMC/MC"
"Cell_180",0,0,0,"PT-1"
"Cell_181",0,0,0,"TAL-1"
"Cell_182",0,0,0,"PT-1"
"Cell_183",0,0,0,"TAL-1"
"Cell_184",0,0,0,"TAL-1"
"Cell_185",0,0,0,"PT-1"
"Cell_186",0,0,0,"PC_CNT"
"Cell_187",0.0718010288840603,-0.0332549747098428,-0.138477453262109,"EC-2"
"Cell_188",0,0,0,"PT-1"
"Cell_189",0,0,0,"TAL-2"
"Cell_190",0.319102135610616,0.359379685942603,0.131775246772911,"IMM"
"Cell_191",0,0,0,"TAL-1"
"Cell_192",0,0,0,"PT-1"
"Cell_193",0.194386318787483,0.175644580840753,0.795646343051342,"FIB"
"Cell_194",0.281144527198961,0.349005808065043,-0.130323159341961,"PT-1"
"Cell_195",0,0,0,"PT-1"
"Cell_196",0,0,0,"PT-1"
"Cell_197",0.207908242638598,0.382256029441965,0.222184166853612,"EC-2"
"Cell_198",0.209159828857988,-0.0105898419564415,0.373157568466669,"PT-1"
"Cell_199",0,0,0,"PT-1"
"Cell_200",0.0362910221787071,0.0554999876210523,0.0748216778246473,"PODO"
"Cell_201",0.265295527800814,0.362764625073185,0.281134239494172,"PODO"
"Cell_202",0.062920452676973,-0.104934282469139,0.183807142236959,"PT-1"
"Cell_203",0,0,0,"PT-1"
"Cell_204",0,0,0,"PT-1"
"Cell_205",0.314939156618304,0.0880875301923735,0.506265377418695,"PT-1"
"Cell_206",0,0,0,"PT-1"
"Cell_207",0.169096737635217,0.22695640760631,-0.354997681759278,"FIB"
"Cell_208",0,0,0,"PT-1"
"Cell_209",0,0,0,"PT-1"
"Cell_210",0,0,0,"PT-1"
"Cell_211",0.122433274572292,0.325147151056288,-0.118196552321686,"EC-1(gEC)"
"Cell_212",0,0,0,"vSMC/MC"
"Cell_213",0.318419434082964,0.562020220219556,-0.190879996395657,"FIB"
"Cell_214",0,0,0,"TAL-1"
"Cell_215",0.255297845207208,0.361541949470243,-0.0198168726170414,"FIB"
"Cell_216",0,0,0,"PT-2"
"Cell_217",0,0,0,"PC_CNT"
"Cell_218",0,0,0,"PT-1"
"Cell_219",0,0,0,"PT-1"
"Cell_220",0.117597138695043,-0.137304699588498,0.172768911244146,"PT-2"
"Cell_221",0.185452660205917,0.289694421779951,0.0361866350990423,"FIB"
"Cell_222",0.230057444512668,0.270868431366916,0.544986262459992,"TAL-1"
"Cell_223",0.189432534186132,0.255199883901971,0.23677989677313,"EC-2"
"Cell_224",0,0,0,"PT-1"
"Cell_225",0.086031797209867,0.12193793499244,0.329112956631959,"IC-B"
"Cell_226",0.26105131752483,0.0910625569035832,0.0609005185369076,"PT-1"
"Cell_227",0,0,0,"PT-1"
"Cell_228",0,0,0,"PT-1"
"Cell_229",0,0,0,"DCT/CNT"
"Cell_230",0,0,0,"PT-1"
"Cell_231",0,0,0,"TAL-1"
"Cell_232",0,0,0,"TAL-1"
"Cell_233",0,0,0,"PT-1"
"Cell_234",0.0891955561870024,-0.0675759299573883,0.57152133816384,"PT-1"
"Cell_235",0.10237420093287,0.162531233263018,0.127414017930395,"PT-2"
"Cell_236",0,0,0,"PT-1"
"Cell_237",0,0,0,"PT-1"
"Cell_238",0.131320877511332,0.155755732591141,0.182943496792081,"FIB"
"Cell_239",0,0,0,"PT-1"
"Cell_240",0.233013873562606,0.151353929104692,0.230407114406618,"PT-1"
"Cell_241",0,0,0,"PC_CNT"
"Cell_242",0.12049641571001,0.230419149352984,-0.0315743811224685,"FIB"
"Cell_243",0,0,0,"PT-1"
"Cell_244",0,0,0,"PT-1"
"Cell_245",0,0,0,"TAL-1"
"Cell_246",0,0,0,"PT-1"
"Cell_247",0,0,0,"PT-1"
"Cell_248",0,0,0,"TAL-1"
"Cell_249",0,0,0,"PT-1"
"Cell_250",0.242432910323891,0.334495482911051,-0.0870537899220565,"EC-2"
"Cell_251",0,0,0,"PT-1"
"Cell_252",0,0,0,"PT-1"
"Cell_253",0.288856473177415,0.164521832799426,0.324547331569208,"PT-1"
"Cell_254",0.0648613383022943,0.0106248195899138,-0.131768027852248,"PT-2"
"Cell_255",0,0,0,"PT-1"
"Cell_256",0.0400813679019156,-0.173906087826618,-0.262282290864246,"PT-2"
"Cell_257",0.159942669379414,0.235745030132605,-0.141710202944094,"EC-2"
"Cell_258",0.079723363916971,-0.108809545486521,0.818694570928665,"PT-1"
"Cell_259",0,0,0,"PT-1"
"Cell_260",0.160777478016317,0.035711449486206,0.154684354754304,"PT-1"
"Cell_261",0.314874483943454,0.331653285415439,0.144332415375759,"FIB"
"Cell_262",0.108445481932647,-0.110495850983248,-0.237079065395609,"PT-1"
"Cell_263",0,0,0,"PT-1"
"Cell_264",0.0748550971959218,-0.108905973907721,-0.0272204347697638,"PT-1"
"Cell_265",0,0,0,"TAL-1"
"Cell_266",0,0,0,"PT-1"
"Cell_267",0,0,0,"DCT/CNT"
"Cell_268",0,0,0,"PT-1"
"Cell_269",0,0,0,"PT-1"
"Cell_270",0.0312664408388615,-0.118579361336273,-0.170598924201545,"PT-2"
"Cell_271",0,0,0,"PT-1"
"Cell_272",0,0,0,"IC-B"
"Cell_273",0.341029351135622,0.457506506674859,0.168813710275805,"FIB"
"Cell_274",0,0,0,"PT-1"
"Cell_275",0,0,0,"PT-1"
