"","baseMean","log2FoldChange","lfcSE","pvalue","padj","padj_combi_ctrl","log2FC_combi_ctrl","Symbol","ENSEMBL_clean"
"ENSMUSG00000026199",412.087845837554,-0.254506652141908,0.11020112147269,0.0152295152802964,0.0420694207513632,0.56663576142758,0.0849039114847156,"Ankzf1","ENSMUSG00000026199"
"ENSMUSG00000026295",1971.35675486069,-0.923756419285645,0.160027692377982,6.24231044337831e-10,7.44770920266054e-09,0.241057869267666,-0.203710808056859,"Spp2","ENSMUSG00000026295"
"ENSMUSG00000026385",8336.17335189111,-0.77397133220783,0.0927758683343055,6.08921562841038e-18,1.70575224835851e-16,1.64730361095174e-07,-0.49587414032757,"Dbi","ENSMUSG00000026385"
"ENSMUSG00000026548",56.5528403047342,0.500453691819565,0.261196395374132,0.0162853930944059,0.0444185659976191,0.112692511729505,-0.411873658946305,"Slamf9","ENSMUSG00000026548"
"ENSMUSG00000026574",63.4284462808448,1.93282353740258,0.354622596598124,1.57238150295066e-09,1.7758714203399e-08,0.233984666826547,-0.363866929716202,"Dpt","ENSMUSG00000026574"
"ENSMUSG00000026584",490.013083649275,-0.314749933551669,0.109200104926736,0.00244436338116235,0.00871409630541996,0.864029367325356,0.0294225020399094,"Scyl3","ENSMUSG00000026584"
"ENSMUSG00000026617",5520.3647426871,-0.717651413854383,0.105122781221515,8.75631541819983e-13,1.48722764605104e-11,0.0124976973815518,-0.281288112181233,"Bpnt1","ENSMUSG00000026617"
"ENSMUSG00000026626",2535.74972988157,-0.149957890173475,0.0619638325846918,0.013998517789454,0.0391529349338279,0.084835834431445,0.128150358338224,"Ppp2r5a","ENSMUSG00000026626"
"ENSMUSG00000026675",581.382888712671,-0.734293328072423,0.117720160527291,4.31617655078108e-11,6.05818175148093e-10,0.0135320871261877,-0.304238852525245,"Hsd17b7","ENSMUSG00000026675"
"ENSMUSG00000026692",343.562848622719,-0.615151799377207,0.152224123786546,8.93399225958608e-06,5.55449115507682e-05,0.980454623965954,-0.00614090443577238,"Fmo4","ENSMUSG00000026692"
"ENSMUSG00000027007",2897.47289126946,-0.212736429724602,0.0867970352094865,0.011506285081426,0.0331136599601334,0.175933956830714,0.144252837755558,"Itprid2","ENSMUSG00000027007"
"ENSMUSG00000027189",3303.59670822116,-0.239108315282501,0.0781826553340842,0.00171159018627269,0.00637129275964392,0.965903794036333,0.00608637726978253,"Trim44","ENSMUSG00000027189"
"ENSMUSG00000027298",71.6411904510592,1.324637287196,0.3672025258218,1.97183112291852e-05,0.000115109331387516,0.312933986772939,0.300267946275458,"Tyro3","ENSMUSG00000027298"
"ENSMUSG00000027408",108.560756615627,1.87179758846421,0.243601648557944,7.22104323663758e-16,1.72827110629946e-14,0.731049285521866,0.0962124300961139,"Cpxm1","ENSMUSG00000027408"
"ENSMUSG00000027546",1185.96502253563,0.194249723134611,0.0754867390167742,0.00846037300021483,0.0254335487607728,0.0595187392990563,-0.170309368741109,"Atp9a","ENSMUSG00000027546"
"ENSMUSG00000027598",2686.31193415815,-0.682250715408935,0.146336679448948,3.87309481849296e-07,3.06778107706119e-06,0.253405541812277,-0.186885046010242,"Itch","ENSMUSG00000027598"
"ENSMUSG00000027750",61.6442375509747,1.25138125944827,0.414856909337161,0.000149827892125772,0.000722932301428789,0.721490993453888,0.120835577656901,"Postn","ENSMUSG00000027750"
"ENSMUSG00000027828",4413.52832043596,-0.513385288335132,0.0455622917500175,5.16963502993067e-30,3.86537109437184e-28,7.25880054632089e-14,-0.353592630698294,"Ssr3","ENSMUSG00000027828"
"ENSMUSG00000027870",6124.32402421152,-1.03933002798031,0.167952251692208,5.54802430684838e-11,7.66282329436857e-10,0.330930750834386,-0.180815903933162,"Hao2","ENSMUSG00000027870"
"ENSMUSG00000027884",664.505795253734,-0.756781529796097,0.134340306624807,1.64974860753378e-09,1.85064016104001e-08,0.0088549797799763,-0.359765876640688,"Clcc1","ENSMUSG00000027884"
"ENSMUSG00000028044",55.7427367029832,1.03354931130632,0.282481998138449,1.95370304563844e-05,0.000114118061306029,0.31734624782107,0.261704382436273,"Cks1b","ENSMUSG00000028044"
"ENSMUSG00000028078",88.2824573987637,0.918327750515868,0.373190819271914,0.00124998143009577,0.00482267326152758,0.911000084131928,0.0413199884683303,"Dclk2","ENSMUSG00000028078"
"ENSMUSG00000028179",1656.80848414218,-1.00617840089388,0.145280627384159,3.89324296391401e-13,6.81026467100138e-12,0.00133247920893892,-0.468311101296903,"Cth","ENSMUSG00000028179"
"ENSMUSG00000028307",89065.5645991395,-1.0299617065653,0.116277301784672,8.21465016979968e-20,2.68506592801306e-18,0.0022919739787685,-0.370055441217216,"Aldob","ENSMUSG00000028307"
"ENSMUSG00000028494",3305.19494430197,0.750554181590766,0.199546944528406,1.80468079270732e-05,0.000106036325808437,0.435941765200561,0.166488451073374,"Plin2","ENSMUSG00000028494"
"ENSMUSG00000028541",68.7094250211833,1.25940894433166,0.256460960517617,8.43253092190733e-08,7.39156489668642e-07,0.11629707108663,0.382175337192069,"B4galt2","ENSMUSG00000028541"
"ENSMUSG00000028786",19.3451353758466,1.10171410656834,0.443111846949355,0.000861258960582013,0.00347455972961778,0.752629439478927,0.111872118739613,"Tmem54","ENSMUSG00000028786"
"ENSMUSG00000028832",673.085467132965,0.33019677282945,0.109347059663552,0.0014926901613045,0.00564091100478533,0.447981081049998,-0.108912079899375,"Stmn1","ENSMUSG00000028832"
"ENSMUSG00000028927",88.2405000418886,0.4926311454476,0.205780412513604,0.00501139704700376,0.0161936110264594,0.685399184160965,-0.10157032234796,"Padi2","ENSMUSG00000028927"
"ENSMUSG00000028980",4779.29750899979,-0.313561252864905,0.114618850255023,0.00385334614392348,0.0129218009537168,0.933330074394743,0.0161665864889998,"H6pd","ENSMUSG00000028980"
"ENSMUSG00000029163",812.39932391215,0.976767148642312,0.134112901779187,2.81989812992969e-14,5.65372519215439e-13,0.00912853606754533,0.362368316342085,"Emilin1","ENSMUSG00000029163"
"ENSMUSG00000029208",672.294607449025,-0.234242956223797,0.0884307229496435,0.00623925791610803,0.0195206230444349,0.676217569512422,0.0529993179151744,"Guf1","ENSMUSG00000029208"
"ENSMUSG00000029273",15828.6563273222,-0.491525561346424,0.220139833586887,0.00773232606335659,0.0234970562374483,0.571881081027183,0.138156629780212,"Sult1d1","ENSMUSG00000029273"
"ENSMUSG00000029390",4626.56017229669,-0.332420147282694,0.0754797527998183,6.36234668549523e-06,4.05319388942392e-05,0.744791564713787,-0.0368974588295213,"Tmed2","ENSMUSG00000029390"
"ENSMUSG00000029403",459.92548416792,0.610023206759637,0.146693709114796,5.47906293688476e-06,3.54961181601632e-05,0.353642093196828,0.159107706364221,"Cdkl2","ENSMUSG00000029403"
"ENSMUSG00000029440",417.319623767947,-0.72986664334117,0.127735512290593,1.1073453092889e-09,1.27823510484312e-08,0.894596951990963,0.0256149131996538,"Psmd9","ENSMUSG00000029440"
"ENSMUSG00000029499",614.322795829947,-1.17254817265713,0.206504914922331,1.38872369334874e-09,1.5801101565797e-08,0.0885622971598382,-0.343752471488626,"Pxmp2","ENSMUSG00000029499"
"ENSMUSG00000029571",8733.58658353257,-0.386497322407729,0.123609401574697,0.000846248883315368,0.00342303112472226,0.993675380851052,0.0021230870837454,"Tmem106b","ENSMUSG00000029571"
"ENSMUSG00000029648",1844.6460457157,-0.526846270427281,0.127933195935784,9.7271279169794e-06,6.01631263150226e-05,0.0846841486568359,0.242187608905812,"Flt1","ENSMUSG00000029648"
"ENSMUSG00000029670",342.392790545569,-0.656089800484866,0.180906314972691,4.1757980276886e-05,0.000227374758434393,0.483977744113529,-0.142687611247966,"Ing3","ENSMUSG00000029670"
"ENSMUSG00000029759",199.022359527077,0.743675151622668,0.15003722019006,7.15543259378539e-08,6.34199638403733e-07,0.0941868621132008,0.270464988865156,"Pon3","ENSMUSG00000029759"
"ENSMUSG00000029864",935.114619358873,-1.03816855400856,0.0911908626044705,5.44106396538613e-31,4.471790132544e-29,1.59022546455888e-06,-0.444917904431292,"Gstk1","ENSMUSG00000029864"
"ENSMUSG00000030087",2036.07086574771,-0.956006686244014,0.224110777563803,1.59306431015029e-06,1.13903479507053e-05,0.63238072257385,-0.116269781562633,"Klf15","ENSMUSG00000030087"
"ENSMUSG00000030088",8480.25508619442,-0.746863396828151,0.155730764291864,1.61634246303831e-07,1.3587250738533e-06,0.224557532673294,-0.206086240558926,"Aldh1l1","ENSMUSG00000030088"
"ENSMUSG00000030102",6093.22947253247,-0.802644578161186,0.131645597282295,9.03634128424097e-11,1.20863343511949e-09,0.00356058868326,-0.3912583388405,"Itpr1","ENSMUSG00000030102"
"ENSMUSG00000030214",173.451210529044,0.42958572576657,0.173495506485398,0.00521335172358186,0.0167300232538021,0.0610441076616316,-0.352895463304368,"Plbd1","ENSMUSG00000030214"
"ENSMUSG00000030220",337.417856400282,0.923694111213485,0.135248222438592,6.83299135203952e-13,1.17765480936494e-11,0.000645800699590369,0.4731080310412,"Arhgdib","ENSMUSG00000030220"
"ENSMUSG00000030249",370.843129977688,-0.766988537500452,0.13881660387107,3.0107057986579e-09,3.2864943814219e-08,0.833752188408355,0.0404595160100198,"Abcc9","ENSMUSG00000030249"
"ENSMUSG00000030319",54.7477002345275,0.701935187833402,0.300944404289376,0.00286895004060895,0.0100494095381598,0.988169852019777,-0.00595077934922552,"Cand2","ENSMUSG00000030319"
"ENSMUSG00000030403",665.713026651885,0.391168601593569,0.143648033138369,0.00300182195061748,0.0104412796040278,0.94456781515007,-0.0160557205536358,"Vasp","ENSMUSG00000030403"
"ENSMUSG00000030669",16.8182076412095,0.783739983788459,0.477892080900457,0.0132973768506813,0.0374658631793739,0.628431576634847,-0.170932310534215,"Calca","ENSMUSG00000030669"
"ENSMUSG00000030707",161.255042581258,0.625501771027984,0.261454822480975,0.00304498318841769,0.0105692269868132,0.850270296954083,-0.0576589671708601,"Coro1a","ENSMUSG00000030707"
"ENSMUSG00000030761",487.601368394163,0.513442018912239,0.159688077768571,0.000355640691396035,0.00156871539391789,0.911433633936878,-0.0267811747660852,"Myo7a","ENSMUSG00000030761"
"ENSMUSG00000030769",517.63130091374,-0.938179355966079,0.116588624196461,7.00126333120798e-17,1.82261945542403e-15,0.101579070045346,-0.208602931396221,"Slc5a11","ENSMUSG00000030769"
"ENSMUSG00000030878",1938.12432319687,-0.423502561764344,0.165116126256716,0.00416691310967833,0.0138333725318632,0.643918776652784,0.0965259949028052,"Cdr2","ENSMUSG00000030878"
"ENSMUSG00000031101",29.0512728177958,1.05320482529802,0.383044932460131,0.000435014193460496,0.00188209643109328,0.889403950089762,0.0519534914931406,"Sash3","ENSMUSG00000031101"
"ENSMUSG00000031389",134.257596772163,0.518497671210302,0.236464112235345,0.00771075168963545,0.0234422409592112,0.7490666384631,-0.0882303857879828,"Arhgap4","ENSMUSG00000031389"
"ENSMUSG00000031523",742.638074466461,-0.264734676732543,0.107752116132435,0.00997035189948283,0.0292349003285882,0.650786577097938,0.0679311521253496,"Dlc1","ENSMUSG00000031523"
