"","Aged1","celltype"
"Cell_641",0,"PT-1"
"Cell_642",0.0484227119410252,"PODO"
"Cell_643",0,"PT-1"
"Cell_644",0,"PT-1"
"Cell_645",0,"TAL-1"
"Cell_646",0,"PT-1"
"Cell_647",0,"PT-1"
"Cell_648",0,"PT-1"
"Cell_649",0.15326647521187,"PT-2"
"Cell_650",0,"PT-1"
"Cell_651",0.321872258476306,"PT-1"
"Cell_652",0,"PT-1"
"Cell_653",0,"PT-1"
"Cell_654",0,"PT-2"
"Cell_655",0,"PT-1"
"Cell_656",0,"PT-1"
"Cell_657",0,"PT-1"
"Cell_658",0,"PT-1"
"Cell_659",0.011599119749242,"EC-2"
"Cell_660",0.206330808645076,"PT-1"
"Cell_661",0,"PT-1"
"Cell_662",0,"PT-1"
"Cell_663",0.185959608597239,"PT-1"
"Cell_664",0,"PT-1"
"Cell_665",0,"TAL-2"
"Cell_666",0.0598359633648069,"TAL-2"
"Cell_667",0,"DCT/CNT"
"Cell_668",0,"TAL-2"
"Cell_669",0.190315932288145,"PT-1"
"Cell_670",0,"PT-1"
"Cell_671",-0.00630829353429047,"EC-2"
"Cell_672",0,"PT-1"
"Cell_673",0,"PT-1"
"Cell_674",0.0635196067438808,"EC-2"
"Cell_675",0,"PT-1"
"Cell_676",0,"EC-2"
"Cell_677",0.13898018617888,"FIB"
"Cell_678",0,"TAL-1"
"Cell_679",0,"EC-1(gEC)"
"Cell_680",0,"PT-1"
"Cell_681",0.167396518583779,"PT-2"
"Cell_682",0.241073405561817,"PT-1"
"Cell_683",0,"PC_CNT"
"Cell_684",0,"PT-1"
"Cell_685",0,"PT-1"
"Cell_686",0.00669241420960232,"EC-3"
"Cell_687",0,"PT-1"
"Cell_688",0.174050954571951,"PT-1"
"Cell_689",0,"PT-1"
"Cell_690",0,"PT-1"
"Cell_691",0.0379918369324679,"EC-2"
"Cell_692",0,"PT-1"
"Cell_693",0.359090938750704,"PT-1"
"Cell_694",0.0907647120066024,"EC-3"
"Cell_695",0.0549604614268669,"PODO"
"Cell_696",0,"PT-2"
"Cell_697",0,"PC_CNT"
"Cell_698",0,"TAL-1"
"Cell_699",0,"TAL-1"
"Cell_700",0,"PT-1"
"Cell_701",0,"TAL-1"
"Cell_702",0,"PT-1"
"Cell_703",0,"TAL-2"
"Cell_704",0,"PT-1"
"Cell_705",0,"PT-1"
"Cell_706",-0.00463509665462386,"PODO"
"Cell_707",0.181821970464693,"PT-2"
"Cell_708",0,"PT-1"
"Cell_709",0.0966095641611585,"FIB"
"Cell_710",0,"PT-1"
"Cell_711",0.117555271220439,"PT-2"
"Cell_712",0,"TAL-2"
"Cell_713",0,"IC-B"
"Cell_714",0.29316291403102,"PT-1"
"Cell_715",0.157215479802167,"PT-1"
"Cell_716",0,"DCT/CNT"
"Cell_717",0,"PT-1"
"Cell_718",0,"PT-1"
"Cell_719",0.360382185746726,"PT-1"
"Cell_720",0.260262588444879,"PT-1"
"Cell_721",0,"PT-1"
"Cell_722",0.0982564388226219,"vSMC/MC"
"Cell_723",0.238310640169307,"PT-1"
"Cell_724",0.154477052838061,"PT-2"
"Cell_725",0,"PT-1"
"Cell_726",0.113555814849824,"PT-1"
"Cell_727",0,"PT-1"
"Cell_728",0.0386431670653701,"EC-2"
"Cell_729",0,"PT-1"
"Cell_730",-0.00528969345604979,"EC-3"
"Cell_731",0,"PT-1"
"Cell_732",0.180616692429789,"PT-1"
"Cell_733",0.222201484732554,"PT-1"
"Cell_734",0,"PT-1"
"Cell_735",0.219278597793109,"PT-1"
"Cell_736",0.0854568192593433,"FIB"
"Cell_737",0,"TAL-2"
"Cell_738",0,"PT-1"
"Cell_739",0,"PT-1"
"Cell_740",0,"PT-1"
"Cell_741",0,"TAL-2"
