"Gene","Symbol","LFC_Age","LFC_Combined","LFC_DR","LFC_sAct","Restoration_DR","Restoration_sAct","Restoration_Combined","Intervention_DR_Effect","Intervention_sAct_Effect","Intervention_Combined_Effect"
"ENSMUSG00000008435","Rdh13",-0.329303125135943,0.326713155853827,0.0818521333947946,-0.000119211444294563,0.248561665975701,0,0.992134999383784,"Rescue","Worsening","Rescue"
"ENSMUSG00000014956","Ppp1cb",-0.31845103581089,0.198943988530343,0.182164980173119,-0.000966423782096271,0.572034503543888,0,0.624723948608805,"Rescue","Worsening","Rescue"
"ENSMUSG00000015087","Rabl6",-0.310215986089295,0.0207937673402406,0.0993712765918309,-2.42297600984422e-05,0.320329322303936,0,0.0670299670960707,"Rescue","Worsening","Rescue"
"ENSMUSG00000015950","Ncf1",0.6453247791596,-0.315546284561868,-0.34552847421508,0.0010186113837499,0.535433452075184,0,0.48897283159156,"Rescue","Worsening","Rescue"
"ENSMUSG00000017615","Tnfaip1",-0.265437147964502,0.0231585289060445,0.079263029554842,-0.00104469689027632,0.298613175143978,0,0.0872467515705134,"Rescue","Worsening","Rescue"
"ENSMUSG00000017716","Birc5",2.24744105976177,-0.522934345839986,-0.142071290899596,0.0048736998358636,0.0632146904509501,0,0.232679893236184,"Rescue","Worsening","Rescue"
"ENSMUSG00000018008","Cyth4",1.3678496501148,-1.21550522041306,-0.485167364533206,0.00103848405229784,0.354693488785474,0,0.8886248721203,"Rescue","Worsening","Rescue"
"ENSMUSG00000018661","Cog1",0.374226668043754,-0.206008267680217,-0.201735834924113,3.90786678830789e-05,0.539073914690993,0,0.550490612433134,"Rescue","Worsening","Rescue"
"ENSMUSG00000019102","Aldh3a1",1.0692575979966,-0.375014796492498,-0.624382495376716,0.0449325421325241,0.583940199767186,0,0.350724462650665,"Rescue","Worsening","Rescue"
"ENSMUSG00000020354","Sgcd",-0.361916588601478,0.183356391396883,0.0247972772503804,-0.000476397810745951,0.0685165533478372,0,0.506626104388889,"Rescue","Worsening","Rescue"
"ENSMUSG00000020393","Kremen1",0.395547878338465,-0.0285342657715606,-0.231070590101413,0.000395919239281002,0.584178560309933,0,0.0721385888641887,"Rescue","Worsening","Rescue"
"ENSMUSG00000020444","Guk1",0.308693123668188,-0.0987892173887998,-0.118016526939325,0.000223586697976362,0.382310190576776,0,0.32002402973831,"Rescue","Worsening","Rescue"
"ENSMUSG00000020608","Smc6",-0.340265864974293,0.348731635195871,0.224184334035488,-8.57925797677694e-05,0.65885049636826,0,1.0248798692229,"Rescue","Worsening","Rescue"
"ENSMUSG00000020644","Id2",0.476053785849456,-0.463939014147847,-0.541993357566333,0.929952708816518,1.13851286068278,0,0.974551674492007,"Rescue","Worsening","Rescue"
"ENSMUSG00000020674","Pxdn",0.787001321070033,-0.730403748327565,-0.816916092903429,0.000592962174805327,1.03801108210686,0,0.92808452638235,"Rescue","Worsening","Rescue"
"ENSMUSG00000020737","Jpt1",0.73165898390648,-0.500805948550373,-0.755941651395019,0.0126210758281543,1.03318850451188,0,0.68448000990361,"Rescue","Worsening","Rescue"
"ENSMUSG00000020799","Tekt1",2.65695689170872,-1.78345222471182,-1.56528074708255,0.00295389756909467,0.589125383240938,0,0.671238675447558,"Rescue","Worsening","Rescue"
"ENSMUSG00000020844","Nxn",0.583751322464032,-0.268764045604009,-0.554054245178509,0.000464521021555706,0.94912717771641,0,0.460408456925711,"Rescue","Worsening","Rescue"
