"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000902",537.686658430162,-0.115789658596796,0.116607550309455,0.0969862984988679,0.388347731792005
"ENSMUSG00000000903",1.01100243401495,0.00729501597079066,0.231559473943956,0.715980429115002,NA
"ENSMUSG00000000915",1414.2377099432,0.0968147880637715,0.102193289765628,0.142088529355327,0.467999525504443
"ENSMUSG00000000916",164.319837808486,0.0116394192415529,0.106063922057943,0.850600408343054,0.950027650752317
"ENSMUSG00000000934",311.193863008481,-0.0335942609839827,0.101375997482871,0.590315121832374,0.843587866153807
"ENSMUSG00000000938",562.320108148542,-0.108417970119478,0.0805168488232955,0.0722886093571534,0.331393190809254
"ENSMUSG00000000942",31.1202656175388,-0.0087466234903184,0.158620987535827,0.871605481576285,0.955460539883624
"ENSMUSG00000000948",57.1373980259389,-0.00529635526522353,0.134623250535083,0.928537038678533,0.975798969847398
"ENSMUSG00000000957",301.331709450581,0.144599816489823,0.141264505695542,0.0575279245755219,0.294357169349782
"ENSMUSG00000000958",2256.53080610699,0.878182692355083,0.213088803832639,3.37820517421944e-07,4.81165208680681e-05
"ENSMUSG00000000959",992.648733040366,0.0750522374526284,0.0635583232425998,0.153402950538403,0.484560393610186
"ENSMUSG00000000976",305.427433093699,0.0116549457331167,0.101434136748926,0.850296798724556,0.950027650752317
"ENSMUSG00000000982",0.955428600069003,-0.00922863100426242,0.228703044318318,0.682860961777759,NA
"ENSMUSG00000001014",3.48517125471234,-0.0426745546696378,0.228488218044016,0.265289237762638,NA
"ENSMUSG00000001016",537.153208977561,0.0144035478964705,0.0813987291127429,0.80762033463804,0.935683329828869
"ENSMUSG00000001017",1414.85840552343,-0.111591820606086,0.0731742178403619,0.0517181996138368,0.275585076596887
"ENSMUSG00000001018",463.335854652471,0.0364068907862109,0.0929041948648465,0.554999028611181,0.826105700189522
"ENSMUSG00000001020",54.2326932673912,-0.154893102707671,0.199479956900404,0.0568366183107266,0.292089870021064
"ENSMUSG00000001021",3.66949002309966,-0.038383340339157,0.222114750138561,0.317833013266843,NA
"ENSMUSG00000001025",1364.46129561336,-0.0182602034927725,0.104017951249021,0.768179925745792,0.919672464510076
"ENSMUSG00000001027",3.40014225188955,-0.00744926957710027,0.207908678611651,0.826501455677583,NA
"ENSMUSG00000001029",127.000572047124,-0.0915636145072303,0.142379346060017,0.18480391214507,0.533539016512089
"ENSMUSG00000001034",184.337626950854,-0.0405587733590486,0.110501830064613,0.520108954837586,0.806447876896675
"ENSMUSG00000001036",709.446257282443,0.0334184376808224,0.0860737099402733,0.580272417855156,0.839038473379277
"ENSMUSG00000001039",135.097290487205,0.00792278422521671,0.110402132743868,0.897697771235487,0.965418131512627
"ENSMUSG00000001052",851.194015621365,0.0143746812565776,0.0850302660974341,0.810583463874725,0.937341416442421
"ENSMUSG00000001053",222.932943485958,-0.112520597423409,0.127007805284109,0.112238571382147,0.416027604520193
"ENSMUSG00000001054",421.508061961365,-0.146995863673706,0.102402811915919,0.0321576193305066,0.210751366781792
"ENSMUSG00000001056",603.385317612198,-0.133247549646594,0.117710773990792,0.0618671270632352,0.304366313972488
"ENSMUSG00000001062",422.044410098972,0.0486763526323482,0.0913796017601742,0.43097344096733,0.75201598734974
"ENSMUSG00000001065",406.742469957032,0.00262097140254033,0.112121443097567,0.965997293001007,0.987943411736288
"ENSMUSG00000001076",2.33203125480512,-0.00436379755843186,0.20777326851719,0.897012585288836,NA
"ENSMUSG00000001082",176.885404594594,-0.0179951553649603,0.129097450570526,0.765674129707483,0.919011204642551
"ENSMUSG00000001089",1371.95786271308,-0.0183076847776901,0.0959647562338444,0.766197214943719,0.919011204642551
"ENSMUSG00000001095",872.731225697009,0.0273200430797355,0.113233363304272,0.660560919535448,0.878189438414108
