"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000628",77.8755870543204,1.51270616624126,0.82348539077252,0.00124556518304874,0.00481058209828869
"ENSMUSG00000000631",4058.97582599299,0.232406921550948,0.100220017813436,0.0157088931990938,0.0431360177877642
"ENSMUSG00000000632",4.89006804781325,0.174877416826787,0.605555861538958,0.495434394484004,0.640307665988196
"ENSMUSG00000000673",1389.46199333316,-1.9678223688366,0.110608095490067,3.12395424117823e-72,3.06998839059396e-69
"ENSMUSG00000000682",65.5982387965893,0.823002444749275,0.331212463106965,0.00138791656239248,0.00529730810006219
"ENSMUSG00000000686",64.4566812059864,0.750656455390058,0.315639799823395,0.00222243756569718,0.00801470441627556
"ENSMUSG00000000690",579.557734985498,0.38595297666469,0.160028861287728,0.00743612940527264,0.022721950797583
"ENSMUSG00000000693",68.1872654844437,0.43664506975847,0.284376714674133,0.0463414979072036,0.105335548785871
"ENSMUSG00000000706",2.27925878244192,0.250340975472394,0.663463843073698,0.326146723165277,0.476615148937119
"ENSMUSG00000000708",1235.74491477862,-0.301983870818369,0.0915782169796293,0.000634858503767959,0.00263770645110527
"ENSMUSG00000000711",2590.20539409516,0.0545291162147969,0.0835539549454604,0.502533555284472,0.646541812604493
"ENSMUSG00000000730",2.04105052199002,0.628684072326396,0.91567275884274,0.0390627156654229,0.0914021590434819
"ENSMUSG00000000731",4.75671509898885,0.839321361570734,0.983579885637157,0.0181366161713185,0.0484967947070925
"ENSMUSG00000000732",255.235280967825,0.401032477854379,0.133961430616515,0.00123894664523927,0.00479218394149434
"ENSMUSG00000000738",2031.8801115673,-0.306719267693323,0.123078458115931,0.00797380633914698,0.0241533710446686
"ENSMUSG00000000739",41.0988875819708,0.738969480070745,0.418144447389189,0.0112257191245043,0.0323999895033036
"ENSMUSG00000000740",5101.64085793448,-0.217559982347481,0.096273449220662,0.0189671319972029,0.0502179563754483
"ENSMUSG00000000743",1542.8844179892,-0.104576222225656,0.0727107455414017,0.142016262021959,0.256475205244233
"ENSMUSG00000000751",832.806944147806,0.0680523006508865,0.101828971386545,0.48663229267776,0.63349069777152
"ENSMUSG00000000753",27.3313275315484,0.646484245889274,0.570499802742145,0.0480803527070231,0.108679410727353
"ENSMUSG00000000759",705.933831972459,0.159885072364662,0.0861986378843354,0.0560842938717035,0.122979143340066
"ENSMUSG00000000776",320.927988496128,-0.0580096349666613,0.184629335458436,0.72078700186217,0.822491705567079
"ENSMUSG00000000782",30.6007155816658,1.03028652238985,0.427833460251272,0.00120066155142264,0.00466314344781193
"ENSMUSG00000000787",5832.9819551765,-0.307807583475783,0.125819917759528,0.00901118569687926,0.0268298611265317
"ENSMUSG00000000791",6.16526180476479,0.112436296712166,0.50538175549272,0.66881947006706,0.783041919827224
"ENSMUSG00000000792",5.17617222605379,0.374824650631284,0.621221435074877,0.197133831294515,0.32994990916575
"ENSMUSG00000000794",52.2998796877471,0.883774298746132,0.35254992798828,0.00116034707874782,0.00453045603635953
"ENSMUSG00000000804",1570.7842287213,-0.190226664995233,0.0936492839698594,0.0353865008955972,0.0842876786003033
"ENSMUSG00000000805",1310.0945112706,-0.893924374013347,0.112550199668859,1.55460147016337e-16,3.93878581402283e-15
"ENSMUSG00000000811",278.747142813668,0.303133220046565,0.118154894378499,0.00655960692206406,0.0203977520439231
"ENSMUSG00000000817",4.39363025153187,0.262412708520184,0.540694183014739,0.343639930773003,0.495372514542601
"ENSMUSG00000000823",688.107455820059,-0.125143198359067,0.142183843733265,0.341190630699346,0.492739931166329
"ENSMUSG00000000826",2680.77797665026,0.115667202881126,0.0930258791173701,0.198367465983996,0.331449590657652
"ENSMUSG00000000827",859.67432077882,-0.107257166851625,0.133356434654031,0.388905978697194,0.540414379257214
"ENSMUSG00000000838",1254.11989558395,0.0994300082139269,0.0853700285104366,0.230799831565812,0.370490544795193
"ENSMUSG00000000861",3.71624760228671,-0.0378349157518414,0.501995144739776,0.884137312547251,0.931564357985082
"ENSMUSG00000000876",2052.31809051305,-0.810195350897597,0.118526253305627,6.62354275712388e-13,1.14453207555549e-11
"ENSMUSG00000000881",425.279947387099,0.10654959340769,0.116684930678189,0.335666157634691,0.486913004827976
"ENSMUSG00000000884",41.4529721515629,0.125509518547254,0.268647774486223,0.546931711265112,0.685007859279082
"ENSMUSG00000000889",3.66357357668337,0.607135256119018,0.810917574277955,0.0560371270331859,0.12290719227647
"ENSMUSG00000000901",79.3509895087132,-0.376475394005221,0.366738641038711,0.13523246708867,0.247323083947269
"ENSMUSG00000000902",537.686658430162,-0.0426967340290675,0.141805233283578,0.745015342718287,0.839821220312711
"ENSMUSG00000000903",1.01100243401495,-0.185772514464859,0.741770137987511,0.35074931895257,NA
"ENSMUSG00000000915",1414.2377099432,0.595487962812559,0.137612642373154,2.74569023650455e-06,1.88502012819603e-05
