"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000001100",1652.1420318735,-0.255438795317046,0.0781655392404626,0.0007975095494427,0.00331475359322758
"ENSMUSG00000001105",510.093581789168,-0.0717932196968615,0.142791091541675,0.585746859488534,0.722072597518747
"ENSMUSG00000001119",380.818031959472,0.550902637824054,0.134058847707968,8.56864269468468e-06,5.38627479628899e-05
"ENSMUSG00000001120",384.681774605109,-0.0665693678937303,0.181684364198768,0.676771916507298,0.792837348116384
"ENSMUSG00000001123",284.664848454869,0.589213913911288,0.185699752237364,0.000281348866703154,0.00131386419578751
"ENSMUSG00000001127",1386.68631297361,-0.0823061551540847,0.107108476895542,0.421171928893843,0.577414808251089
"ENSMUSG00000001128",48.8697124000716,0.146653120864386,0.281620792381461,0.488744455243378,0.639380684157795
"ENSMUSG00000001131",20.9755389378638,2.53455420014888,0.84439069021805,1.05618691672541e-05,6.51566426388079e-05
"ENSMUSG00000001134",256.68404363699,0.575092055170219,0.197894621594492,0.000734394714241849,0.0030932605827099
"ENSMUSG00000001138",541.330726373247,0.544139923623424,0.181233315045871,0.000612034390807185,0.00263194637811116
"ENSMUSG00000001143",638.240449475124,-0.791005715333483,0.118766309595367,2.22471246532939e-12,3.60907881100622e-11
"ENSMUSG00000001150",654.443194729743,-0.164251668186291,0.196081786477288,0.330407770051148,0.486747911636494
"ENSMUSG00000001151",679.46479249609,0.315524074421526,0.121381726710045,0.00563881409602284,0.0182948386335948
"ENSMUSG00000001155",257.037438036895,-0.108714412819954,0.280305468557931,0.606337413776728,0.739298971469184
"ENSMUSG00000001156",264.003279166023,0.165100799076074,0.125099917805445,0.159755721128212,0.28604443081734
"ENSMUSG00000001157",497.017722219541,-0.0603114278424462,0.107293988661126,0.556248774934147,0.696633202233187
"ENSMUSG00000001158",491.571356651153,-0.300266026472927,0.115845200267424,0.00606447265744385,0.0194919677898999
"ENSMUSG00000001166",118.198022084173,3.11999085610357,0.338758154189341,1.58609250291058e-22,6.61337396024915e-21
"ENSMUSG00000001173",509.940975894037,0.567752072041779,0.148459494895292,2.62643076353021e-05,0.000151017870644268
"ENSMUSG00000001175",4544.22742969444,0.20493027365893,0.10777620437883,0.0460986047015929,0.107284712018486
"ENSMUSG00000001211",5892.64269325948,-0.469836727703844,0.11312341283952,1.06451410443167e-05,6.56092997305283e-05
"ENSMUSG00000001225",1.02891975248763,0.178755399312656,0.783972950029163,0.318139152314945,NA
"ENSMUSG00000001227",144.468832253076,1.28866160062002,0.209166215021033,6.44899450006729e-11,8.74328913509464e-10
"ENSMUSG00000001228",73.324913244953,1.7929539580352,0.402925029937712,2.19528570418702e-07,1.82381108481937e-06
"ENSMUSG00000001229",624.692991366797,-0.311220752701758,0.100710195981639,0.00124422410022489,0.00491584686717774
"ENSMUSG00000001240",224.228594205965,0.409523128506545,0.156590355280527,0.00372140447434526,0.0127788352193116
"ENSMUSG00000001247",737.48322430563,-0.000813350577107137,0.104297919666281,0.993504001294316,0.998017445581876
