"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000562",0.985279758059427,-0.0126744022404478,0.244011631877233,0.562429326253568,NA
"ENSMUSG00000000563",8556.69869608404,-0.00523238087000591,0.0566973556395758,0.904892404043973,0.976965545392824
"ENSMUSG00000000567",40.8948254816974,-0.156765317536365,0.243536073422906,0.0447744569907578,0.269924607895985
"ENSMUSG00000000568",1240.47533416671,-0.0185593074731765,0.0928023738973389,0.714303047893527,0.916299651296808
"ENSMUSG00000000579",111.989462184683,0.00308999222220436,0.11903074915892,0.949274551104857,0.986704151410234
"ENSMUSG00000000581",793.427206467146,-0.271007738488591,0.17488162735877,0.00327945670706625,0.0527144670298766
"ENSMUSG00000000594",3887.48951904032,0.260266665520126,0.11144383116035,0.000466324146605197,0.0135505408103478
"ENSMUSG00000000600",1025.18344133082,-0.0292600533587225,0.0739712422518007,0.553876749712309,0.846615950297802
"ENSMUSG00000000605",1681.39023297173,-0.0196634207976754,0.0886675556529404,0.698214311886993,0.90839852647096
"ENSMUSG00000000627",3.32329140673244,-0.00876681779812219,0.186074012036613,0.821459355405612,NA
"ENSMUSG00000000628",77.8755870543204,-0.0210953283543647,0.186240879827253,0.606854716473145,0.87111653799542
"ENSMUSG00000000631",4058.97582599299,-0.0815764357242069,0.0811126593488781,0.126437569081919,0.468026373442756
"ENSMUSG00000000632",4.89006804781325,0.0207686427789838,0.209711481247715,0.550482256968206,NA
"ENSMUSG00000000673",1389.46199333316,-0.0223644717070362,0.0756708081454732,0.65184634681698,0.888249144831409
"ENSMUSG00000000682",65.5982387965893,-0.334851761665038,0.326970890512244,0.00610286074377331,0.0812859608847285
"ENSMUSG00000000686",64.4566812059864,0.0116990421891534,0.118971697049129,0.810896172175074,0.949698271735143
"ENSMUSG00000000690",579.557734985498,-0.059272127844285,0.102048971817091,0.275628566548607,0.661894222774355
"ENSMUSG00000000693",68.1872654844437,-0.023546266822607,0.124251632409034,0.634686475646294,0.882493753233698
"ENSMUSG00000000706",2.27925878244192,0.0448924460195271,0.238239111408163,0.236154503917125,NA
"ENSMUSG00000000708",1235.74491477862,0.046947784081338,0.0700944412207102,0.337938025396597,0.716287769162444
"ENSMUSG00000000711",2590.20539409516,0.104678432822626,0.0746779679256721,0.0467240065416702,0.276024146037402
