"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Immune cells?","Endothelial cells","Ptprm","Ptprm",0.403018394218936,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Endothelial cells","Ptprm","Ptprm",0.411013290984807,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Endothelial cells","Ptprm","Ptprm",0.249606978371767,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Endothelial cells","Ptprm","Ptprm",0.306713975484212,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Endothelial cells","Ptprm","Ptprm",0.320518595371444,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (differentiating myocytes?)","Endothelial cells","Ptprm","Ptprm",0.226416640093173,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","Endothelial cells","Ptprm","Ptprm",0.228020288174983,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Endothelial cells","Ptprm","Ptprm",0.344185582120003,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","FAPs","Ptprm","Ptprm",0.256051521136222,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","FAPs","Ptprm","Ptprm",0.1812303031955,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","FAPs","Ptprm","Ptprm",0.186197738353769,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","FAPs","Ptprm","Ptprm",0.126677862417929,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","FAPs","Ptprm","Ptprm",0.133944935766915,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","FAPs","Ptprm","Ptprm",0.146812010050465,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Immune cells?","Ptprm","Ptprm",0.403018394218936,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Immune cells?","Ptprm","Ptprm",0.1812303031955,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Immune cells?","Ptprm","Ptprm",0.302727080765938,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Immune cells?","Ptprm","Ptprm",0.309764782942634,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Immune cells?","Ptprm","Ptprm",0.176222854376385,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Immune cells?","Ptprm","Ptprm",0.221496252644718,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Immune cells?","Ptprm","Ptprm",0.232753050446235,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","Immune cells?","Ptprm","Ptprm",0.159632528608447,0.01,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Immune cells?","Ptprm","Ptprm",0.252346219764323,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Lymphatic vessels","Ptprm","Ptprm",0.411013290984807,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Lymphatic vessels","Ptprm","Ptprm",0.186197738353769,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Lymphatic vessels","Ptprm","Ptprm",0.309764782942634,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Lymphatic vessels","Ptprm","Ptprm",0.316891738920077,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Lymphatic vessels","Ptprm","Ptprm",0.181083393095797,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Lymphatic vessels","Ptprm","Ptprm",0.227261018883419,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Lymphatic vessels","Ptprm","Ptprm",0.238720953441073,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","Lymphatic vessels","Ptprm","Ptprm",0.164126645576148,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Lymphatic vessels","Ptprm","Ptprm",0.258647144114958,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Myonuclei","Ptprm","Ptprm",0.249606978371767,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Myonuclei","Ptprm","Ptprm",0.176222854376385,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Myonuclei","Ptprm","Ptprm",0.181083393095797,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Myonuclei","Ptprm","Ptprm",0.122951368948184,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Myonuclei","Ptprm","Ptprm",0.130036497158871,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Myonuclei","Ptprm","Ptprm",0.142589933278239,0.01,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Myonuclei (Myh1+)","Ptprm","Ptprm",0.306713975484212,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Myonuclei (Myh1+)","Ptprm","Ptprm",0.126677862417929,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Myonuclei (Myh1+)","Ptprm","Ptprm",0.221496252644718,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Myonuclei (Myh1+)","Ptprm","Ptprm",0.227261018883419,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Myonuclei (Myh1+)","Ptprm","Ptprm",0.122951368948184,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Myonuclei (Myh1+)","Ptprm","Ptprm",0.157149628686638,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Myonuclei (Myh1+)","Ptprm","Ptprm",0.165832827912047,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","Myonuclei (Myh1+)","Ptprm","Ptprm",0.11070227405183,0.04,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Myonuclei (Myh1+)","Ptprm","Ptprm",0.181122501735179,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.320518595371444,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.133944935766915,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.232753050446235,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.238720953441073,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.130036497158871,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.165832827912047,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.174896253583984,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (myotendinous junction nuclei)","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.117175847209429,0.04,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Myonuclei (Myh4+?)","Ptprm","Ptprm",0.19083040136303,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Myonuclei (differentiating myocytes?)","Ptprm","Ptprm",0.226416640093173,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Myonuclei (myotendinous junction nuclei)","Ptprm","Ptprm",0.228020288174983,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Myonuclei (myotendinous junction nuclei)","Ptprm","Ptprm",0.159632528608447,0.01,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Myonuclei (myotendinous junction nuclei)","Ptprm","Ptprm",0.164126645576148,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Myonuclei (myotendinous junction nuclei)","Ptprm","Ptprm",0.11070227405183,0.04,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Myonuclei (myotendinous junction nuclei)","Ptprm","Ptprm",0.117175847209429,0.04,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Endothelial cells","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.344185582120003,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"FAPs","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.146812010050465,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Immune cells?","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.252346219764323,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Lymphatic vessels","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.258647144114958,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.142589933278239,0.01,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh1+)","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.181122501735179,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (Myh4+?)","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.19083040136303,0,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
"Myonuclei (neuromuscular junction nuclei)","Myonuclei (neuromuscular junction nuclei)","Ptprm","Ptprm",0.207850554480346,0.01,"PTPRM_PTPRM","Ptprm  - Ptprm","PTPRM","Cell-Cell Contact","KEGG: mmu04514"
